fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,-1,3,0,3
2020-04-08,19,6,0,6
2020-04-09,20,8,0,8
2020-04-10,18,10,0,10
2020-04-11,14,13,0,13
2020-04-12,17,11,1,12
2020-04-13,40,11,3,14
2020-04-14,37,11,3,14
2020-04-15,37,10,5,15
2020-04-16,38,11,4,15
2020-04-17,41,12,4,16
2020-04-18,40,12,4,16
2020-04-19,42,13,3,16
2020-04-20,45,11,5,16
2020-04-21,42,12,5,17
2020-04-22,45,18,2,20
2020-04-23,44,18,2,20
2020-04-24,44,20,1,21
2020-04-25,44,15,2,17
2020-04-26,41,14,4,18
2020-04-27,45,15,5,20
2020-04-28,68,16,5,21
2020-04-29,150,11,10,21
2020-04-30,171,-1,9,8
2020-05-01,197,-11,23,12
2020-05-02,193,-9,24,15
2020-05-03,227,-11,27,16
2020-05-04,200,-1,15,14
2020-05-05,201,-7,16,9
2020-05-06,214,-4,16,12
2020-05-07,230,-3,15,12
2020-05-08,195,7,15,22
2020-05-09,198,9,17,26
2020-05-10,185,14,18,32
2020-05-11,170,18,15,33
2020-05-12,168,14,17,31
2020-05-13,165,14,17,31
2020-05-14,178,12,17,29
2020-05-15,180,12,20,32
2020-05-16,162,25,18,43
2020-05-17,157,28,18,46
2020-05-18,144,26,18,44
2020-05-19,195,22,23,45
2020-05-20,201,18,25,43
2020-05-21,207,17,30,47
2020-05-22,214,19,26,45
2020-05-23,146,20,24,44
2020-05-24,190,27,29,56
2020-05-25,195,22,37,59
2020-05-26,209,32,29,61
2020-05-27,193,29,28,57
2020-05-28,193,30,24,54
2020-05-29,217,28,25,53
2020-05-30,213,33,25,58
2020-05-31,212,26,25,51
2020-06-01,158,17,18,35
2020-06-02,207,30,24,54
2020-06-03,210,30,24,54
2020-06-04,193,33,25,58
2020-06-05,187,39,25,64
2020-06-06,178,40,26,66
2020-06-07,176,39,28,67
2020-06-08,172,39,23,62
2020-06-09,187,39,24,63
2020-06-10,170,40,25,65
2020-06-11,170,38,24,62
2020-06-12,163,37,23,60
2020-06-13,156,39,24,63
2020-06-14,153,36,27,63
2020-06-15,167,34,26,60
2020-06-16,156,35,25,60
2020-06-17,137,26,27,53
2020-06-18,143,20,32,52
2020-06-19,162,17,32,49
2020-06-20,127,16,19,35
2020-06-21,162,16,27,43
2020-06-22,186,14,29,43
2020-06-23,153,9,29,38
2020-06-24,163,11,25,36
2020-06-25,151,23,16,39
2020-06-26,162,22,15,37
2020-06-27,184,12,30,42
2020-06-28,173,23,21,44
2020-06-29,186,19,20,39
2020-06-30,183,13,28,41
2020-07-01,171,26,20,46
2020-07-02,180,9,28,37
2020-07-03,219,11,27,38
2020-07-04,204,17,26,43
2020-07-05,192,13,27,40
2020-07-06,206,16,28,44
2020-07-07,204,10,28,38
2020-07-08,196,15,28,43
2020-07-09,193,13,28,41
2020-07-10,195,21,30,51
2020-07-11,167,17,27,44
2020-07-12,201,21,27,48
2020-07-13,208,19,28,47
2020-07-14,217,17,28,45
2020-07-15,220,20,29,49
2020-07-16,208,21,29,50
2020-07-17,202,24,31,55
2020-07-18,200,29,31,60
2020-07-19,185,34,29,63
2020-07-20,185,31,29,60
2020-07-21,179,33,24,57
2020-07-22,206,22,38,60
2020-07-23,205,28,26,54
2020-07-24,213,24,26,50
2020-07-25,210,29,24,53
2020-07-26,209,35,27,62
2020-07-27,198,38,26,64
2020-07-28,197,41,24,65
2020-07-29,202,35,26,61
2020-07-30,188,31,22,53
2020-07-31,230,22,31,53
2020-08-01,214,30,22,52
2020-08-02,213,28,27,55
2020-08-03,200,38,22,60
2020-08-04,197,37,21,58
2020-08-05,195,26,23,49
2020-08-06,199,18,23,41
2020-08-07,178,23,23,46
2020-08-08,170,20,22,42
2020-08-09,170,30,18,48
2020-08-10,175,26,17,43
2020-08-11,180,18,24,42
2020-08-12,183,17,25,42
2020-08-13,184,13,25,38
2020-08-14,189,17,26,43
2020-08-15,191,15,28,43
2020-08-16,182,24,20,44
2020-08-17,185,24,22,46
2020-08-18,168,21,24,45
2020-08-19,157,21,23,44
2020-08-20,175,22,23,45
2020-08-21,164,18,26,44
2020-08-22,167,20,28,48
2020-08-23,175,21,38,59
2020-08-24,192,22,35,57
2020-08-25,193,22,31,53
2020-08-26,176,24,21,45
2020-08-27,201,24,29,53
2020-08-28,195,25,30,55
2020-08-29,202,15,38,53
2020-08-30,207,14,26,40
2020-08-31,205,14,31,45
2020-09-01,208,13,39,52
2020-09-02,195,10,42,52
2020-09-03,188,11,39,50
2020-09-04,196,10,39,49
2020-09-05,202,8,38,46
2020-09-06,213,8,40,48
2020-09-07,215,7,41,48
2020-09-08,217,11,38,49
2020-09-09,204,15,41,56
2020-09-10,196,19,37,56
2020-09-11,186,20,31,51
2020-09-12,190,13,38,51
2020-09-13,192,12,36,48
2020-09-14,193,12,31,43
2020-09-15,188,19,30,49
2020-09-16,191,23,27,50
2020-09-17,188,28,23,51
2020-09-18,187,25,28,53
2020-09-19,169,24,39,63
2020-09-20,163,20,38,58
2020-09-21,184,21,38,59
2020-09-22,176,20,40,60
2020-09-23,182,19,40,59
2020-09-24,172,20,39,59
2020-09-25,180,25,41,66
2020-09-26,181,22,42,64
2020-09-27,198,15,43,58
2020-09-28,187,17,44,61
2020-09-29,195,23,37,60
2020-09-30,193,24,35,59
2020-10-01,196,18,45,63
2020-10-02,178,19,27,46
2020-10-03,186,28,32,60
2020-10-04,189,35,33,68
2020-10-05,230,36,34,70
2020-10-06,232,28,40,68
2020-10-07,271,32,40,72
2020-10-08,257,39,45,84
2020-10-09,276,34,49,83
2020-10-10,310,49,45,94
2020-10-11,333,46,49,95
2020-10-12,353,55,48,103
2020-10-13,378,51,50,101
2020-10-14,381,59,50,109
2020-10-15,395,62,57,119
2020-10-16,432,30,91,121
2020-10-17,438,75,59,134
2020-10-18,466,75,68,143
2020-10-19,509,74,66,140
2020-10-20,523,66,71,137
2020-10-21,526,68,83,151
2020-10-22,588,69,82,151
2020-10-23,590,75,80,155
2020-10-24,629,81,76,157
2020-10-25,633,87,76,163
2020-10-26,649,74,83,157
2020-10-27,694,69,87,156
2020-10-28,705,81,76,157
2020-10-29,734,86,91,177
2020-10-30,789,97,87,184
2020-10-31,748,105,70,175
2020-11-01,800,94,86,180
2020-11-02,834,82,82,164
2020-11-03,847,73,86,159
2020-11-04,820,82,83,165
2020-11-05,856,87,83,170
2020-11-06,829,83,81,164
2020-11-07,782,91,79,170
2020-11-08,794,84,83,167
2020-11-09,826,76,82,158
2020-11-10,793,58,76,134
2020-11-11,760,66,78,144
2020-11-12,757,63,79,142
2020-11-13,745,71,74,145
2020-11-14,713,83,66,149
2020-11-15,695,79,73,152
2020-11-16,609,75,52,127
2020-11-17,716,67,99,166
2020-11-18,647,72,75,147
2020-11-19,673,66,83,149
2020-11-20,638,64,80,144
2020-11-21,618,66,75,141
2020-11-22,590,82,65,147
2020-11-23,573,81,63,144
2020-11-24,579,56,66,122
2020-11-25,573,66,58,124
2020-11-26,555,52,58,110
2020-11-27,512,53,62,115
2020-11-28,492,61,63,124
2020-11-29,497,62,52,114
2020-11-30,503,28,65,93
2020-12-01,486,37,65,102
2020-12-02,463,33,66,99
2020-12-03,454,41,64,105
2020-12-04,406,35,71,106
2020-12-05,362,47,55,102
2020-12-06,364,33,68,101
2020-12-07,350,39,59,98
2020-12-08,345,37,66,103
2020-12-09,337,37,64,101
2020-12-10,304,39,57,96
2020-12-11,319,24,60,84
2020-12-12,288,32,52,84
2020-12-13,317,25,54,79
2020-12-14,310,22,63,85
2020-12-15,293,19,58,77
2020-12-16,302,20,53,73
2020-12-17,293,17,47,64
2020-12-18,287,25,41,66
2020-12-19,267,25,40,65
2020-12-20,270,21,45,66
2020-12-21,270,24,46,70
2020-12-22,290,27,45,72
2020-12-23,267,27,46,73
2020-12-24,249,30,45,75
2020-12-25,239,20,41,61
2020-12-26,241,33,36,69
2020-12-27,256,20,43,63
2020-12-28,269,26,33,59
2020-12-29,272,17,36,53
2020-12-30,265,15,38,53
2020-12-31,252,17,35,52
2021-01-01,245,16,32,48
2021-01-02,248,20,34,54
2021-01-03,256,19,34,53
2021-01-04,262,22,26,48
2021-01-05,250,23,28,51
2021-01-06,247,25,28,53
2021-01-07,245,18,31,49
2021-01-08,234,19,35,54
2021-01-09,230,15,38,53
2021-01-10,239,9,43,52
2021-01-11,230,18,40,58
2021-01-12,228,12,42,54
2021-01-13,217,21,42,63
2021-01-14,226,16,44,60
2021-01-15,235,15,43,58
2021-01-16,239,9,44,53
2021-01-17,222,18,45,63
2021-01-18,232,15,46,61
2021-01-19,235,18,43,61
2021-01-20,230,21,47,68
2021-01-21,232,26,43,69
2021-01-22,243,23,42,65
2021-01-23,244,21,47,68
2021-01-24,240,22,46,68
2021-01-25,240,26,45,71
2021-01-26,255,22,42,64
2021-01-27,242,24,44,68
2021-01-28,232,29,40,69
2021-01-29,229,22,42,64
2021-01-30,221,22,43,65
2021-01-31,217,27,41,68
2021-02-01,214,23,40,63
2021-02-02,218,14,43,57
2021-02-03,190,23,29,52
2021-02-04,215,24,32,56
2021-02-05,199,27,31,58
2021-02-06,187,31,32,63
2021-02-07,182,29,35,64
2021-02-08,171,23,40,63
2021-02-09,168,23,35,58
2021-02-10,150,22,34,56
2021-02-11,144,24,40,64
2021-02-12,137,17,39,56
2021-02-13,139,13,37,50
2021-02-14,149,15,32,47
2021-02-15,153,25,21,46
2021-02-16,148,29,28,57
2021-02-17,156,30,24,54
