fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,1,0,1
2020-04-08,14,0,2,2
2020-04-09,19,1,1,2
2020-04-10,23,0,4,4
2020-04-11,27,4,4,8
2020-04-12,34,5,4,9
2020-04-13,40,6,2,8
2020-04-14,37,7,0,7
2020-04-15,37,8,0,8
2020-04-16,39,6,3,9
2020-04-17,43,8,1,9
2020-04-18,38,10,0,10
2020-04-19,38,15,0,15
2020-04-20,42,12,2,14
2020-04-21,45,7,6,13
2020-04-22,44,11,1,12
2020-04-23,39,4,3,7
2020-04-24,45,4,2,6
2020-04-25,38,9,1,10
2020-04-26,37,10,1,11
2020-04-27,59,9,4,13
2020-04-28,52,8,4,12
2020-04-29,34,8,4,12
2020-04-30,54,7,2,9
2020-05-01,51,9,3,12
2020-05-02,50,6,3,9
2020-05-03,39,6,2,8
2020-05-04,32,7,3,10
2020-05-05,31,5,4,9
2020-05-06,23,6,3,9
2020-05-07,25,7,3,10
2020-05-08,31,5,2,7
2020-05-09,32,7,2,9
2020-05-10,33,9,0,9
2020-05-11,43,1,6,7
2020-05-12,45,5,1,6
2020-05-13,40,7,1,8
2020-05-14,43,7,2,9
2020-05-15,53,9,0,9
2020-05-16,42,9,1,10
2020-05-17,54,11,1,12
2020-05-18,64,11,3,14
2020-05-19,62,12,3,15
2020-05-20,54,14,2,16
2020-05-21,49,12,4,16
2020-05-22,53,8,4,12
2020-05-23,61,12,5,17
2020-05-24,66,12,6,18
2020-05-25,70,9,7,16
2020-05-26,70,14,6,20
2020-05-27,70,12,7,19
2020-05-28,68,12,7,19
2020-05-29,79,13,3,16
2020-05-30,67,15,5,20
2020-05-31,81,15,5,20
2020-06-01,89,13,9,22
2020-06-02,99,12,9,21
2020-06-03,92,17,10,27
2020-06-04,98,24,9,33
2020-06-05,103,21,9,30
2020-06-06,93,21,9,30
2020-06-07,109,20,8,28
2020-06-08,120,22,10,32
2020-06-09,124,20,12,32
2020-06-10,125,20,11,31
2020-06-11,138,19,12,31
2020-06-12,135,20,12,32
2020-06-13,155,19,10,29
2020-06-14,167,22,12,34
2020-06-15,159,23,13,36
2020-06-16,144,23,12,35
2020-06-17,164,27,12,39
2020-06-18,179,28,10,38
2020-06-19,177,35,10,45
2020-06-20,160,26,13,39
2020-06-21,171,23,12,35
2020-06-22,210,30,12,42
2020-06-23,199,29,10,39
2020-06-24,189,26,13,39
2020-06-25,203,35,10,45
2020-06-26,205,36,12,48
2020-06-27,189,35,10,45
2020-06-28,200,32,15,47
2020-06-29,217,35,14,49
2020-06-30,231,42,11,53
2020-07-01,248,38,15,53
2020-07-02,244,35,17,52
2020-07-03,277,34,12,46
2020-07-04,270,35,11,46
2020-07-05,280,34,13,47
2020-07-06,295,33,12,45
2020-07-07,309,39,14,53
2020-07-08,303,36,14,50
2020-07-09,310,41,13,54
2020-07-10,323,46,14,60
2020-07-11,321,44,14,58
2020-07-12,314,43,15,58
2020-07-13,330,44,15,59
2020-07-14,311,51,15,66
2020-07-15,322,42,13,55
2020-07-16,340,43,13,56
2020-07-17,352,52,16,68
2020-07-18,352,42,18,60
2020-07-19,388,54,18,72
2020-07-20,372,62,15,77
2020-07-21,394,71,15,86
2020-07-22,396,66,13,79
2020-07-23,391,68,11,79
2020-07-24,440,64,12,76
2020-07-25,442,65,13,78
2020-07-26,417,60,15,75
2020-07-27,449,73,14,87
2020-07-28,453,74,14,88
2020-07-29,444,77,16,93
2020-07-30,479,67,18,85
2020-07-31,435,77,15,92
2020-08-01,454,77,14,91
2020-08-02,427,75,13,88
2020-08-03,436,61,17,78
2020-08-04,458,82,13,95
2020-08-05,453,76,16,92
2020-08-06,475,74,17,91
2020-08-07,452,81,17,98
2020-08-08,433,75,30,105
2020-08-09,384,65,15,80
2020-08-10,400,78,13,91
2020-08-11,390,77,15,92
2020-08-12,410,74,13,87
2020-08-13,439,78,13,91
2020-08-14,405,77,12,89
2020-08-15,416,65,13,78
2020-08-16,409,61,15,76
2020-08-17,416,59,11,70
2020-08-18,406,52,15,67
2020-08-19,391,51,15,66
2020-08-20,377,62,12,74
2020-08-21,385,60,15,75
2020-08-22,351,56,20,76
2020-08-23,306,52,16,68
2020-08-24,364,61,21,82
2020-08-25,375,66,11,77
2020-08-26,393,58,20,78
2020-08-27,383,61,15,76
2020-08-28,374,63,17,80
2020-08-29,357,58,18,76
2020-08-30,351,60,17,77
2020-08-31,351,56,14,70
2020-09-01,375,50,14,64
2020-09-02,358,46,16,62
2020-09-03,316,49,14,63
2020-09-04,299,49,13,62
2020-09-05,327,61,14,75
2020-09-06,324,56,14,70
2020-09-07,331,64,14,78
2020-09-08,322,61,12,73
2020-09-09,307,64,14,78
2020-09-10,303,53,13,66
2020-09-11,285,59,19,78
2020-09-12,289,31,36,67
2020-09-13,247,57,16,73
2020-09-14,242,54,13,67
2020-09-15,234,47,16,63
2020-09-16,231,50,13,63
2020-09-17,230,55,12,67
2020-09-18,219,55,11,66
2020-09-19,213,55,11,66
2020-09-20,195,53,10,63
2020-09-21,228,49,11,60
2020-09-22,231,49,15,64
2020-09-23,230,41,17,58
2020-09-24,234,48,18,66
2020-09-25,230,49,14,63
2020-09-26,230,42,16,58
2020-09-27,218,43,13,56
2020-09-28,225,44,12,56
2020-09-29,212,33,16,49
2020-09-30,214,41,11,52
2020-10-01,220,37,12,49
2020-10-02,204,36,13,49
2020-10-03,188,34,11,45
2020-10-04,220,32,7,39
2020-10-05,225,34,10,44
2020-10-06,241,31,9,40
2020-10-07,239,30,8,38
2020-10-08,234,34,8,42
2020-10-09,222,27,11,38
2020-10-10,229,29,9,38
2020-10-11,211,38,9,47
2020-10-12,259,39,10,49
2020-10-13,287,40,13,53
2020-10-14,246,41,11,52
2020-10-15,253,34,17,51
2020-10-16,292,35,17,52
2020-10-17,253,31,18,49
2020-10-18,275,33,16,49
2020-10-19,295,41,15,56
2020-10-20,320,46,16,62
2020-10-21,366,60,15,75
2020-10-22,389,60,20,80
2020-10-23,389,63,23,86
2020-10-24,355,60,23,83
2020-10-25,321,72,5,77
2020-10-26,397,71,11,82
2020-10-27,413,65,11,76
2020-10-28,455,47,23,70
2020-10-29,482,70,15,85
2020-10-30,499,76,16,92
2020-10-31,505,77,24,101
2020-11-01,467,64,20,84
2020-11-02,508,68,24,92
2020-11-03,511,64,27,91
2020-11-04,524,56,31,87
2020-11-05,531,57,33,90
2020-11-06,532,50,31,81
2020-11-07,491,46,28,74
2020-11-08,435,49,26,75
2020-11-09,448,53,24,77
2020-11-10,512,57,22,79
2020-11-11,538,65,20,85
2020-11-12,550,60,23,83
2020-11-13,543,65,24,89
2020-11-14,502,61,24,85
2020-11-15,516,49,29,78
2020-11-16,582,52,28,80
2020-11-17,557,51,26,77
2020-11-18,601,50,36,86
2020-11-19,613,54,34,88
2020-11-20,612,61,31,92
2020-11-21,586,62,21,83
2020-11-22,596,73,27,100
2020-11-23,580,78,23,101
2020-11-24,588,76,28,104
2020-11-25,593,77,30,107
2020-11-26,568,75,28,103
2020-11-27,565,81,23,104
2020-11-28,566,75,20,95
2020-11-29,502,85,14,99
2020-11-30,506,75,21,96
2020-12-01,514,74,18,92
2020-12-02,479,86,18,104
2020-12-03,478,86,21,107
2020-12-04,485,86,21,107
2020-12-05,408,76,21,97
2020-12-06,418,71,21,92
2020-12-07,462,69,25,94
2020-12-08,458,74,23,97
2020-12-09,423,80,16,96
2020-12-10,440,85,23,108
2020-12-11,422,77,20,97
2020-12-12,329,60,15,75
2020-12-13,385,56,19,75
2020-12-14,443,58,19,77
2020-12-15,433,65,20,85
2020-12-16,441,66,22,88
2020-12-17,439,62,23,85
2020-12-18,379,71,18,89
2020-12-19,394,73,19,92
2020-12-20,404,76,19,95
2020-12-21,412,88,17,105
2020-12-22,426,79,20,99
2020-12-23,389,67,18,85
2020-12-24,406,63,19,82
2020-12-25,406,61,19,80
2020-12-26,369,57,18,75
2020-12-27,438,55,16,71
2020-12-28,440,65,20,85
2020-12-29,434,68,19,87
2020-12-30,445,71,19,90
2020-12-31,388,63,22,85
2021-01-01,367,63,18,81
2021-01-02,373,62,16,78
2021-01-03,379,57,18,75
2021-01-04,452,68,17,85
2021-01-05,463,62,22,84
2021-01-06,470,59,20,79
2021-01-07,491,73,20,93
2021-01-08,504,82,20,102
2021-01-09,480,81,21,102
2021-01-10,476,79,22,101
2021-01-11,500,80,18,98
2021-01-12,487,91,17,108
2021-01-13,497,87,20,107
2021-01-14,501,88,20,108
2021-01-15,494,80,21,101
2021-01-16,504,94,21,115
2021-01-17,498,92,20,112
2021-01-18,512,95,16,111
2021-01-19,493,94,23,117
2021-01-20,480,97,20,117
2021-01-21,437,85,21,106
2021-01-22,452,91,22,113
2021-01-23,467,90,20,110
2021-01-24,476,86,24,110
2021-01-25,442,93,13,106
2021-01-26,452,75,23,98
2021-01-27,458,75,24,99
2021-01-28,417,78,15,93
2021-01-29,419,76,19,95
2021-01-30,335,67,13,80
2021-01-31,356,60,18,78
2021-02-01,397,79,16,95
2021-02-02,383,72,14,86
2021-02-03,371,70,17,87
2021-02-04,340,75,12,87
2021-02-05,321,78,13,91
2021-02-06,298,69,14,83
2021-02-07,270,69,14,83
2021-02-08,262,67,13,80
2021-02-09,234,66,9,75
2021-02-10,220,58,11,69
2021-02-11,214,54,16,70
2021-02-12,221,56,16,72
2021-02-13,198,54,14,68
2021-02-14,172,36,9,45
2021-02-15,169,40,9,49
2021-02-16,171,45,9,54
2021-02-17,163,44,7,51
