fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,4,0,0,0
2020-04-08,5,1,0,1
2020-04-09,5,0,0,0
2020-04-10,6,0,0,0
2020-04-11,4,1,0,1
2020-04-12,2,1,0,1
2020-04-13,2,2,0,2
2020-04-14,3,1,0,1
2020-04-15,3,1,0,1
2020-04-16,1,1,1,2
2020-04-17,5,2,0,2
2020-04-18,7,1,2,3
2020-04-19,6,3,0,3
2020-04-20,6,3,0,3
2020-04-21,6,3,0,3
2020-04-22,5,2,1,3
2020-04-23,6,0,3,3
2020-04-24,7,2,1,3
2020-04-25,6,1,3,4
2020-04-26,7,3,1,4
2020-04-27,10,3,1,4
2020-04-28,8,4,1,5
2020-04-29,14,4,3,7
2020-04-30,11,6,2,8
2020-05-01,14,6,3,9
2020-05-02,20,0,9,9
2020-05-03,18,2,8,10
2020-05-04,17,9,2,11
2020-05-05,35,6,4,10
2020-05-06,38,2,7,9
2020-05-07,39,0,15,15
2020-05-08,38,7,8,15
2020-05-09,47,1,18,19
2020-05-10,48,7,9,16
2020-05-11,50,1,17,18
2020-05-12,53,4,21,25
2020-05-13,54,1,32,33
2020-05-14,40,6,16,22
2020-05-15,85,5,34,39
2020-05-16,86,13,22,35
2020-05-17,65,17,9,26
2020-05-18,97,23,26,49
2020-05-19,100,23,26,49
2020-05-20,110,21,28,49
2020-05-21,105,28,13,41
2020-05-22,135,25,33,58
2020-05-23,139,32,32,64
2020-05-24,115,23,38,61
2020-05-25,168,20,53,73
2020-05-26,168,22,54,76
2020-05-27,180,31,57,88
2020-05-28,186,41,69,110
2020-05-29,213,37,67,104
2020-05-30,162,42,47,89
2020-05-31,180,39,64,103
2020-06-01,198,79,15,94
2020-06-02,228,60,47,107
2020-06-03,224,71,50,121
2020-06-04,248,67,48,115
2020-06-05,265,68,50,118
2020-06-06,274,79,42,121
2020-06-07,282,57,48,105
2020-06-08,227,76,32,108
2020-06-09,314,70,52,122
2020-06-10,288,70,48,118
2020-06-11,331,68,53,121
2020-06-12,312,71,50,121
2020-06-13,273,69,58,127
2020-06-14,269,69,58,127
2020-06-15,303,75,56,131
2020-06-16,324,67,55,122
2020-06-17,289,74,46,120
2020-06-18,322,55,59,114
2020-06-19,289,53,59,112
2020-06-20,280,62,61,123
2020-06-21,303,62,52,114
2020-06-22,295,65,58,123
2020-06-23,311,73,54,127
2020-06-24,324,47,69,116
2020-06-25,318,54,68,122
2020-06-26,317,64,59,123
2020-06-27,321,65,61,126
2020-06-28,348,59,66,125
2020-06-29,396,66,61,127
2020-06-30,343,70,65,135
2020-07-01,339,69,62,131
2020-07-02,325,78,62,140
2020-07-03,332,66,66,132
2020-07-04,342,61,52,113
2020-07-05,344,59,50,109
2020-07-06,301,63,46,109
2020-07-07,297,65,45,110
2020-07-08,321,36,71,107
2020-07-09,312,43,67,110
2020-07-10,316,28,75,103
2020-07-11,285,43,66,109
2020-07-12,289,46,57,103
2020-07-13,267,44,53,97
2020-07-14,268,35,52,87
2020-07-15,256,41,47,88
2020-07-16,203,32,43,75
2020-07-17,244,48,46,94
2020-07-18,235,39,46,85
2020-07-19,214,36,51,87
2020-07-20,221,28,53,81
2020-07-21,218,31,55,86
2020-07-22,212,39,52,91
2020-07-23,212,39,53,92
2020-07-24,203,46,51,97
2020-07-25,188,42,60,102
2020-07-26,189,43,56,99
2020-07-27,191,46,53,99
2020-07-28,186,49,46,95
2020-07-29,188,45,44,89
2020-07-30,185,42,46,88
2020-07-31,182,44,47,91
2020-08-01,181,34,51,85
2020-08-02,181,34,52,86
2020-08-03,172,40,56,96
2020-08-04,160,41,55,96
2020-08-05,135,41,56,97
2020-08-06,138,34,49,83
2020-08-07,126,32,50,82
2020-08-08,125,31,50,81
2020-08-09,119,34,44,78
2020-08-10,114,29,41,70
2020-08-11,113,27,39,66
2020-08-12,103,25,46,71
2020-08-13,98,20,45,65
2020-08-14,88,16,45,61
2020-08-15,93,15,46,61
2020-08-16,89,10,30,40
2020-08-17,91,11,29,40
2020-08-18,73,11,30,41
2020-08-19,63,13,24,37
2020-08-20,55,11,20,31
2020-08-21,55,9,21,30
2020-08-22,55,11,17,28
2020-08-23,57,10,18,28
2020-08-24,55,10,24,34
2020-08-25,60,12,15,27
2020-08-26,57,6,18,24
2020-08-27,61,4,19,23
2020-08-28,53,6,15,21
2020-08-29,52,9,13,22
2020-08-30,45,11,15,26
2020-08-31,46,9,12,21
2020-09-01,45,9,11,20
2020-09-02,38,9,9,18
2020-09-03,41,6,7,13
2020-09-04,45,7,8,15
2020-09-05,28,6,8,14
2020-09-06,32,3,7,10
2020-09-07,26,6,3,9
2020-09-08,37,2,8,10
2020-09-09,30,7,5,12
2020-09-10,34,8,6,14
2020-09-11,34,4,6,10
2020-09-12,33,1,9,10
2020-09-13,30,0,8,8
2020-09-14,30,1,8,9
2020-09-15,32,-1,9,8
2020-09-16,28,0,9,9
2020-09-17,29,0,9,9
2020-09-18,25,5,6,11
2020-09-19,27,5,7,12
2020-09-20,28,5,7,12
2020-09-21,29,4,7,11
2020-09-22,32,4,6,10
2020-09-23,24,5,6,11
2020-09-24,25,5,6,11
2020-09-25,22,7,6,13
2020-09-26,21,6,6,12
2020-09-27,15,5,7,12
2020-09-28,19,7,6,13
2020-09-29,24,8,5,13
2020-09-30,22,8,5,13
2020-10-01,23,8,5,13
2020-10-02,21,9,4,13
2020-10-03,19,9,5,14
2020-10-04,16,10,5,15
2020-10-05,19,9,5,14
2020-10-06,18,9,5,14
2020-10-07,23,1,9,10
2020-10-08,20,1,8,9
2020-10-09,22,0,9,9
2020-10-10,20,1,9,10
2020-10-11,22,0,9,9
2020-10-12,22,2,9,11
2020-10-13,19,3,6,9
2020-10-14,23,-2,9,7
2020-10-15,23,-1,9,8
2020-10-16,21,-1,9,8
2020-10-17,15,1,4,5
2020-10-18,15,1,5,6
2020-10-19,15,1,4,5
2020-10-20,13,3,4,7
2020-10-21,11,5,2,7
2020-10-22,14,4,2,6
2020-10-23,14,6,1,7
2020-10-24,15,4,1,5
2020-10-25,15,4,1,5
2020-10-26,15,5,1,6
2020-10-27,16,4,1,5
2020-10-28,16,4,1,5
2020-10-29,19,4,1,5
2020-10-30,21,6,1,7
2020-10-31,21,5,1,6
2020-11-01,16,6,2,8
2020-11-02,15,8,2,10
2020-11-03,15,6,2,8
2020-11-04,15,5,3,8
2020-11-05,15,4,3,7
2020-11-06,15,3,3,6
2020-11-07,16,1,4,5
2020-11-08,17,1,2,3
2020-11-09,15,0,5,5
2020-11-10,14,1,4,5
2020-11-11,15,2,3,5
2020-11-12,15,1,4,5
2020-11-13,17,-1,4,3
2020-11-14,20,-1,2,1
2020-11-15,17,-1,4,3
2020-11-16,8,1,4,5
2020-11-17,17,-1,4,3
2020-11-18,17,-1,4,3
2020-11-19,16,0,3,3
2020-11-20,14,-1,2,1
2020-11-21,14,-1,2,1
2020-11-22,14,0,1,1
2020-11-23,15,-2,2,0
2020-11-24,15,-2,3,1
2020-11-25,14,-2,3,1
2020-11-26,15,-4,4,0
2020-11-27,14,0,2,2
2020-11-28,12,3,1,4
2020-11-29,13,1,2,3
2020-11-30,13,1,2,3
2020-12-01,16,-1,3,2
2020-12-02,15,1,2,3
2020-12-03,13,4,1,5
2020-12-04,13,5,1,6
2020-12-05,12,6,0,6
2020-12-06,12,6,0,6
2020-12-07,14,4,2,6
2020-12-08,14,4,2,6
2020-12-09,16,4,1,5
2020-12-10,15,5,1,6
2020-12-11,15,7,2,9
2020-12-12,15,5,3,8
2020-12-13,17,8,3,11
2020-12-14,23,7,4,11
2020-12-15,30,5,5,10
2020-12-16,30,4,4,8
2020-12-17,32,8,3,11
2020-12-18,35,5,3,8
2020-12-19,26,7,5,12
2020-12-20,31,9,3,12
2020-12-21,30,10,2,12
2020-12-22,28,10,2,12
2020-12-23,24,13,3,16
2020-12-24,23,10,4,14
2020-12-25,22,12,3,15
2020-12-26,19,14,1,15
2020-12-27,22,14,1,15
2020-12-28,27,11,2,13
2020-12-29,24,11,5,16
2020-12-30,22,11,6,17
2020-12-31,21,9,8,17
2021-01-01,21,12,5,17
2021-01-02,21,17,2,19
2021-01-03,29,8,3,11
2021-01-04,27,18,2,20
2021-01-05,26,19,2,21
2021-01-06,35,23,2,25
2021-01-07,34,22,4,26
2021-01-08,43,21,5,26
2021-01-09,48,21,5,26
2021-01-10,57,21,5,26
2021-01-11,72,21,5,26
2021-01-12,69,26,3,29
2021-01-13,73,27,3,30
2021-01-14,76,28,3,31
2021-01-15,81,32,3,35
2021-01-16,86,24,6,30
2021-01-17,80,36,0,36
2021-01-18,83,36,0,36
2021-01-19,74,41,12,53
2021-01-20,83,35,15,50
2021-01-21,83,35,15,50
2021-01-22,83,32,15,47
2021-01-23,87,34,2,36
2021-01-24,74,36,15,51
2021-01-25,70,41,16,57
2021-01-26,77,41,16,57
2021-01-27,76,40,16,56
2021-01-28,70,44,16,60
2021-01-29,63,45,13,58
2021-01-30,71,33,15,48
2021-01-31,57,47,14,61
2021-02-01,64,37,14,51
2021-02-02,68,31,15,46
2021-02-03,60,39,14,53
2021-02-04,63,34,16,50
2021-02-05,65,31,15,46
2021-02-06,66,33,12,45
2021-02-07,74,23,13,36
2021-02-08,72,24,13,37
2021-02-09,60,31,11,42
2021-02-10,58,32,11,43
2021-02-11,53,33,12,45
2021-02-12,51,31,11,42
2021-02-13,58,30,8,38
2021-02-14,59,28,8,36
2021-02-15,42,27,6,33
2021-02-16,46,22,5,27
2021-02-17,45,9,19,28
