fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-03-31,1,0,1,1
2020-04-01,1,0,1,1
2020-04-02,2,0,1,1
2020-04-04,2,0,1,1
2020-04-05,2,0,1,1
2020-04-06,2,0,1,1
2020-04-07,0,2,0,2
2020-04-08,6,2,0,2
2020-04-09,14,2,1,3
2020-04-10,11,0,0,0
2020-04-11,12,1,1,2
2020-04-12,13,1,0,1
2020-04-13,11,1,1,2
2020-04-14,11,1,1,2
2020-04-15,10,1,1,2
2020-04-16,12,0,1,1
2020-04-17,33,2,7,9
2020-04-18,20,3,10,13
2020-04-19,25,1,11,12
2020-04-20,25,3,10,13
2020-04-21,26,3,11,14
2020-04-22,29,0,16,16
2020-04-23,40,-2,16,14
2020-04-24,40,-5,15,10
2020-04-25,53,2,15,17
2020-04-26,60,2,14,16
2020-04-27,62,3,12,15
2020-04-28,66,8,12,20
2020-04-29,62,5,12,17
2020-04-30,56,10,15,25
2020-05-01,53,6,17,23
2020-05-02,50,5,19,24
2020-05-03,57,7,19,26
2020-05-04,65,4,14,18
2020-05-05,66,5,15,20
2020-05-06,56,11,14,25
2020-05-07,67,8,14,22
2020-05-08,54,15,15,30
2020-05-09,75,10,15,25
2020-05-10,82,8,21,29
2020-05-11,81,14,19,33
2020-05-12,79,14,18,32
2020-05-13,77,15,19,34
2020-05-14,75,20,19,39
2020-05-15,79,15,23,38
2020-05-16,95,9,26,35
2020-05-17,107,6,26,32
2020-05-18,106,5,30,35
2020-05-19,121,11,30,41
2020-05-20,126,15,29,44
2020-05-21,138,12,30,42
2020-05-22,146,16,28,44
2020-05-23,140,16,27,43
2020-05-24,149,13,25,38
2020-05-25,148,11,22,33
2020-05-26,158,16,28,44
2020-05-27,153,13,32,45
2020-05-28,149,19,32,51
2020-05-29,141,21,30,51
2020-05-30,149,23,30,53
2020-05-31,155,21,25,46
2020-06-01,185,17,34,51
2020-06-02,189,22,28,50
2020-06-03,204,29,28,57
2020-06-04,222,32,30,62
2020-06-05,222,33,32,65
2020-06-06,255,37,36,73
2020-06-07,261,30,36,66
2020-06-08,263,44,36,80
2020-06-09,290,34,39,73
2020-06-10,279,34,41,75
2020-06-11,307,61,41,102
2020-06-12,332,56,42,98
2020-06-13,310,65,39,104
2020-06-14,311,70,39,109
2020-06-15,313,66,39,105
2020-06-16,371,78,41,119
2020-06-17,367,72,25,97
2020-06-18,401,87,33,120
2020-06-19,425,80,35,115
2020-06-20,420,85,29,114
2020-06-21,432,81,30,111
2020-06-22,417,78,33,111
2020-06-23,439,69,33,102
2020-06-24,485,75,37,112
2020-06-25,500,84,34,118
2020-06-26,474,97,39,136
2020-06-27,470,107,39,146
2020-06-28,503,106,41,147
2020-06-29,517,121,43,164
2020-06-30,538,134,42,176
2020-07-01,530,130,44,174
2020-07-02,567,124,47,171
2020-07-03,539,123,46,169
2020-07-04,543,118,46,164
2020-07-05,600,119,44,163
2020-07-06,615,101,48,149
2020-07-07,645,114,44,158
2020-07-08,654,101,46,147
2020-07-09,645,118,47,165
2020-07-10,629,101,47,148
2020-07-11,640,111,49,160
2020-07-12,610,119,46,165
2020-07-13,646,112,53,165
2020-07-14,628,133,51,184
2020-07-15,620,132,45,177
2020-07-16,613,121,57,178
2020-07-17,606,120,55,175
2020-07-18,605,134,48,182
2020-07-19,573,115,44,159
2020-07-20,646,111,49,160
2020-07-21,646,120,47,167
2020-07-22,622,115,51,166
2020-07-23,628,102,54,156
2020-07-24,622,109,48,157
2020-07-25,602,101,45,146
2020-07-26,636,113,43,156
2020-07-27,617,107,46,153
2020-07-28,658,95,42,137
2020-07-29,631,112,37,149
2020-07-30,637,112,38,150
2020-07-31,655,119,56,175
2020-08-01,603,132,47,179
2020-08-02,628,128,50,178
2020-08-03,619,99,71,170
2020-08-04,629,135,46,181
2020-08-05,582,126,45,171
2020-08-06,593,128,43,171
2020-08-07,563,116,66,182
2020-08-08,526,141,44,185
2020-08-09,533,116,42,158
2020-08-10,540,105,41,146
2020-08-11,528,111,44,155
2020-08-12,523,112,43,155
2020-08-13,499,106,44,150
2020-08-14,486,115,45,160
2020-08-15,455,113,46,159
2020-08-16,445,115,45,160
2020-08-17,463,104,41,145
2020-08-18,461,97,41,138
2020-08-19,432,100,38,138
2020-08-20,437,103,36,139
2020-08-21,418,104,33,137
2020-08-22,385,105,36,141
2020-08-23,389,97,35,132
2020-08-24,401,88,35,123
2020-08-25,406,77,39,116
2020-08-26,378,83,30,113
2020-08-27,369,91,30,121
2020-08-28,378,99,26,125
2020-08-29,382,94,26,120
2020-08-30,362,97,26,123
2020-08-31,374,79,26,105
2020-09-01,367,86,24,110
2020-09-02,349,80,29,109
2020-09-03,345,81,31,112
2020-09-04,325,94,27,121
2020-09-05,333,89,33,122
2020-09-06,333,83,33,116
2020-09-07,336,86,34,120
2020-09-08,332,81,32,113
2020-09-09,319,86,32,118
2020-09-10,325,85,33,118
2020-09-11,309,90,30,120
2020-09-12,286,81,29,110
2020-09-13,290,80,29,109
2020-09-14,292,73,30,103
2020-09-15,277,64,29,93
2020-09-16,270,65,29,94
2020-09-17,272,50,28,78
2020-09-18,276,51,29,80
2020-09-19,270,48,26,74
2020-09-20,274,48,25,73
2020-09-21,267,45,20,65
2020-09-22,257,49,22,71
2020-09-23,253,44,20,64
2020-09-24,269,42,16,58
2020-09-25,250,47,17,64
2020-09-26,215,53,16,69
2020-09-27,220,43,17,60
2020-09-28,215,51,16,67
2020-09-29,212,56,15,71
2020-09-30,210,58,16,74
2020-10-01,207,50,15,65
2020-10-02,201,40,22,62
2020-10-03,198,50,23,73
2020-10-04,198,46,22,68
2020-10-05,199,47,23,70
2020-10-06,201,54,21,75
2020-10-07,186,54,21,75
2020-10-08,200,42,23,65
2020-10-09,190,47,24,71
2020-10-10,197,31,25,56
2020-10-11,179,35,26,61
2020-10-12,197,35,27,62
2020-10-13,219,39,30,69
2020-10-14,213,40,30,70
2020-10-15,238,26,38,64
2020-10-16,231,38,31,69
2020-10-17,228,47,30,77
2020-10-18,222,45,29,74
2020-10-19,241,47,28,75
2020-10-20,245,51,26,77
2020-10-21,242,58,27,85
2020-10-22,257,55,25,80
2020-10-23,230,58,29,87
2020-10-24,251,56,29,85
2020-10-25,272,59,27,86
2020-10-26,297,59,29,88
2020-10-27,295,50,34,84
2020-10-28,312,57,30,87
2020-10-29,300,50,32,82
2020-10-30,300,60,32,92
2020-10-31,269,57,33,90
2020-11-01,281,53,32,85
2020-11-02,291,55,31,86
2020-11-03,283,52,28,80
2020-11-04,306,61,27,88
2020-11-05,280,57,27,84
2020-11-06,303,64,29,93
2020-11-07,319,65,27,92
2020-11-08,337,62,28,90
2020-11-09,341,59,25,84
2020-11-10,374,63,28,91
2020-11-11,375,65,27,92
2020-11-12,409,70,29,99
2020-11-13,403,61,30,91
2020-11-14,404,74,35,109
2020-11-15,436,74,37,111
2020-11-16,428,90,35,125
2020-11-17,442,90,31,121
2020-11-18,464,99,34,133
2020-11-19,458,108,31,139
2020-11-20,467,97,33,130
2020-11-21,491,105,36,141
2020-11-22,514,110,33,143
2020-11-23,532,118,31,149
2020-11-24,548,122,33,155
2020-11-25,536,119,33,152
2020-11-26,556,123,31,154
2020-11-27,560,135,35,170
2020-11-28,589,136,36,172
2020-11-29,596,128,39,167
2020-11-30,592,124,39,163
2020-12-01,629,130,42,172
2020-12-02,596,130,37,167
2020-12-03,604,118,46,164
2020-12-04,617,116,50,166
2020-12-05,624,123,43,166
2020-12-06,628,132,38,170
2020-12-07,631,127,38,165
2020-12-08,635,148,38,186
2020-12-09,656,130,43,173
2020-12-10,631,137,42,179
2020-12-11,655,146,42,188
2020-12-12,657,173,31,204
2020-12-13,645,159,32,191
2020-12-14,659,153,43,196
2020-12-15,690,158,44,202
2020-12-16,623,145,35,180
2020-12-17,661,156,36,192
2020-12-18,683,176,48,224
2020-12-19,715,185,33,218
2020-12-20,735,183,34,217
2020-12-21,726,187,43,230
2020-12-22,731,198,45,243
2020-12-23,675,202,37,239
2020-12-24,692,203,43,246
2020-12-25,696,195,46,241
2020-12-26,708,203,44,247
2020-12-27,756,201,45,246
2020-12-28,771,179,47,226
2020-12-29,782,210,41,251
2020-12-30,780,198,52,250
2020-12-31,832,191,49,240
2021-01-01,844,209,56,265
2021-01-02,855,205,49,254
2021-01-03,879,197,53,250
2021-01-04,890,197,49,246
2021-01-05,918,206,47,253
2021-01-06,900,208,44,252
2021-01-07,932,196,46,242
2021-01-08,964,216,47,263
2021-01-09,1052,234,46,280
2021-01-10,1066,226,48,274
2021-01-11,1102,236,46,282
2021-01-12,1097,229,45,274
2021-01-13,1133,247,51,298
2021-01-14,1122,250,42,292
2021-01-15,1183,256,50,306
2021-01-16,1208,260,53,313
2021-01-17,1215,272,53,325
2021-01-18,1249,260,52,312
2021-01-19,1263,277,41,318
2021-01-20,1308,285,53,338
2021-01-21,1299,280,55,335
2021-01-22,1313,289,63,352
2021-01-23,1317,290,67,357
2021-01-24,1298,289,50,339
2021-01-25,1313,296,68,364
2021-01-26,1214,287,61,348
2021-01-27,1260,296,58,354
2021-01-28,1243,298,72,370
2021-01-29,1226,286,72,358
2021-01-30,1197,294,68,362
2021-01-31,1179,293,68,361
2021-02-01,1162,276,60,336
2021-02-02,1146,274,66,340
2021-02-03,1129,257,60,317
2021-02-04,1136,262,63,325
2021-02-05,1101,256,62,318
2021-02-06,1081,233,56,289
2021-02-07,1027,231,58,289
2021-02-08,1022,227,61,288
2021-02-09,1002,226,53,279
2021-02-10,940,224,56,280
2021-02-11,908,230,55,285
2021-02-12,840,219,57,276
2021-02-13,776,220,56,276
2021-02-14,792,183,70,253
2021-02-15,660,168,40,208
2021-02-16,684,184,48,232
2021-02-17,662,176,49,225
