fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,2,1,0,1
2020-04-08,5,2,0,2
2020-04-09,4,2,0,2
2020-04-10,6,2,0,2
2020-04-11,8,2,0,2
2020-04-12,9,3,0,3
2020-04-13,10,3,0,3
2020-04-14,10,3,0,3
2020-04-15,12,2,0,2
2020-04-16,15,2,0,2
2020-04-17,16,2,0,2
2020-04-18,20,2,0,2
2020-04-19,20,2,0,2
2020-04-20,25,3,0,3
2020-04-21,44,2,8,10
2020-04-22,44,12,0,12
2020-04-23,43,9,4,13
2020-04-24,50,17,4,21
2020-04-25,45,11,4,15
2020-04-26,46,19,0,19
2020-04-27,38,15,0,15
2020-04-28,53,13,6,19
2020-04-29,60,16,1,17
2020-04-30,58,24,4,28
2020-05-01,53,24,4,28
2020-05-02,58,22,5,27
2020-05-03,79,21,4,25
2020-05-04,111,28,6,34
2020-05-05,105,29,6,35
2020-05-06,94,30,6,36
2020-05-07,88,32,9,41
2020-05-08,107,25,13,38
2020-05-09,109,25,14,39
2020-05-10,120,22,13,35
2020-05-11,129,25,13,38
2020-05-12,140,24,10,34
2020-05-13,139,29,10,39
2020-05-14,135,27,10,37
2020-05-15,143,25,10,35
2020-05-16,157,23,9,32
2020-05-17,161,21,10,31
2020-05-18,155,19,6,25
2020-05-19,173,20,12,32
2020-05-20,176,17,12,29
2020-05-21,187,26,10,36
2020-05-22,151,24,2,26
2020-05-23,192,18,11,29
2020-05-24,184,20,10,30
2020-05-25,189,22,10,32
2020-05-26,197,26,10,36
2020-05-27,165,26,11,37
2020-05-28,170,23,11,34
2020-05-29,183,22,11,33
2020-05-30,177,21,11,32
2020-05-31,173,22,12,34
2020-06-01,189,24,13,37
2020-06-02,188,31,10,41
2020-06-03,161,31,9,40
2020-06-04,186,36,9,45
2020-06-05,191,34,10,44
2020-06-06,202,36,11,47
2020-06-07,206,41,11,52
2020-06-08,216,42,11,53
2020-06-09,210,44,10,54
2020-06-10,214,40,8,48
2020-06-11,206,35,9,44
2020-06-12,212,34,11,45
2020-06-13,179,30,0,30
2020-06-14,230,36,7,43
2020-06-15,235,37,9,46
2020-06-16,241,41,10,51
2020-06-17,232,43,10,53
2020-06-18,226,37,11,48
2020-06-19,213,33,13,46
2020-06-20,217,31,18,49
2020-06-21,429,34,13,47
2020-06-22,231,33,15,48
2020-06-23,232,35,14,49
2020-06-24,234,36,15,51
2020-06-25,232,34,12,46
2020-06-26,222,35,11,46
2020-06-27,222,30,10,40
2020-06-28,228,32,10,42
2020-06-29,234,35,11,46
2020-06-30,233,31,9,40
2020-07-01,219,25,14,39
2020-07-02,220,27,16,43
2020-07-03,218,30,12,42
2020-07-04,204,32,9,41
2020-07-05,215,34,11,45
2020-07-06,233,36,10,46
2020-07-07,241,30,13,43
2020-07-08,239,34,12,46
2020-07-09,237,32,13,45
2020-07-10,234,35,12,47
2020-07-11,235,42,12,54
2020-07-12,226,45,12,57
2020-07-13,325,39,13,52
2020-07-14,255,33,14,47
2020-07-15,260,32,18,50
2020-07-16,250,30,17,47
2020-07-17,265,41,16,57
2020-07-18,260,32,18,50
2020-07-19,263,36,20,56
2020-07-20,283,38,20,58
2020-07-21,284,30,20,50
2020-07-22,268,35,20,55
2020-07-23,285,35,22,57
2020-07-24,282,48,22,70
2020-07-25,179,12,9,21
2020-07-26,299,31,25,56
2020-07-27,313,35,22,57
2020-07-28,303,38,23,61
2020-07-29,298,40,23,63
2020-07-30,283,34,31,65
2020-07-31,259,45,21,66
2020-08-01,281,44,25,69
2020-08-02,295,49,28,77
2020-08-03,292,9,65,74
2020-08-04,292,46,27,73
2020-08-05,292,45,30,75
2020-08-06,299,44,26,70
2020-08-07,300,40,27,67
2020-08-08,299,42,28,70
2020-08-09,312,40,29,69
2020-08-10,316,22,45,67
2020-08-11,313,40,27,67
2020-08-12,306,39,25,64
2020-08-13,321,34,25,59
2020-08-14,326,34,23,57
2020-08-15,321,37,24,61
2020-08-16,319,35,26,61
2020-08-17,334,31,27,58
2020-08-18,325,25,31,56
2020-08-19,321,30,30,60
2020-08-20,299,39,23,62
2020-08-21,323,24,33,57
2020-08-22,331,19,31,50
2020-08-23,327,22,31,53
2020-08-24,330,30,28,58
2020-08-25,336,23,27,50
2020-08-26,350,25,26,51
2020-08-27,339,32,25,57
2020-08-28,313,38,24,62
2020-08-29,300,33,27,60
2020-08-30,311,33,26,59
2020-08-31,305,29,32,61
2020-09-01,304,33,27,60
2020-09-02,288,35,25,60
2020-09-03,290,33,24,57
2020-09-04,294,32,23,55
2020-09-05,281,35,21,56
2020-09-06,262,35,20,55
2020-09-07,262,40,19,59
2020-09-08,251,32,23,55
2020-09-09,256,24,22,46
2020-09-10,265,25,21,46
2020-09-11,251,25,21,46
2020-09-12,243,18,22,40
2020-09-13,244,17,21,38
2020-09-14,253,20,22,42
2020-09-15,245,20,21,41
2020-09-16,244,24,20,44
2020-09-17,252,25,19,44
2020-09-18,240,22,20,42
2020-09-19,224,19,22,41
2020-09-20,228,19,21,40
2020-09-21,230,23,24,47
2020-09-22,214,33,22,55
2020-09-23,218,28,16,44
2020-09-24,200,30,18,48
2020-09-25,185,28,16,44
2020-09-26,179,25,15,40
2020-09-27,169,27,14,41
2020-09-28,178,29,15,44
2020-09-29,193,28,14,42
2020-09-30,193,22,16,38
2020-10-01,184,24,18,42
2020-10-02,186,26,14,40
2020-10-03,181,25,15,40
2020-10-04,193,24,16,40
2020-10-05,200,21,21,42
2020-10-06,200,20,20,40
2020-10-07,160,24,13,37
2020-10-08,204,22,19,41
2020-10-09,212,20,19,39
2020-10-10,206,18,22,40
2020-10-11,221,16,22,38
2020-10-12,220,13,26,39
2020-10-13,234,15,25,40
2020-10-14,228,17,23,40
2020-10-15,228,20,22,42
2020-10-16,230,18,21,39
2020-10-17,227,22,21,43
2020-10-18,211,24,21,45
2020-10-19,213,30,21,51
2020-10-20,222,27,18,45
2020-10-21,235,19,21,40
2020-10-22,225,18,21,39
2020-10-23,233,18,25,43
2020-10-24,217,15,25,40
2020-10-25,222,18,25,43
2020-10-26,213,21,26,47
2020-10-27,222,24,25,49
2020-10-28,234,23,25,48
2020-10-29,224,30,25,55
2020-10-30,227,34,22,56
2020-10-31,229,31,23,54
2020-11-01,232,26,26,52
2020-11-02,233,29,19,48
2020-11-03,248,26,25,51
2020-11-04,249,25,25,50
2020-11-05,248,24,26,50
2020-11-06,229,27,23,50
2020-11-07,242,20,25,45
2020-11-08,249,22,19,41
2020-11-09,247,23,29,52
2020-11-10,256,35,20,55
2020-11-11,262,29,21,50
2020-11-12,258,29,24,53
2020-11-13,264,28,23,51
2020-11-14,275,30,23,53
2020-11-15,281,21,24,45
2020-11-16,273,20,20,40
2020-11-17,280,30,19,49
2020-11-18,292,37,20,57
2020-11-19,288,35,23,58
2020-11-20,300,32,23,55
2020-11-21,280,32,26,58
2020-11-22,267,19,34,53
2020-11-23,311,26,32,58
2020-11-24,316,19,30,49
2020-11-25,329,28,31,59
2020-11-26,330,28,31,59
2020-11-27,334,24,33,57
2020-11-28,339,21,33,54
2020-11-29,355,15,36,51
2020-11-30,345,24,33,57
2020-12-01,356,27,36,63
2020-12-02,370,25,38,63
2020-12-03,377,24,36,60
2020-12-04,360,30,30,60
2020-12-05,354,36,23,59
2020-12-06,366,33,29,62
2020-12-07,370,29,31,60
2020-12-08,373,33,32,65
2020-12-09,380,37,33,70
2020-12-10,367,40,34,74
2020-12-11,398,32,38,70
2020-12-12,390,31,38,69
2020-12-13,393,36,37,73
2020-12-14,390,37,34,71
2020-12-15,420,41,39,80
2020-12-16,422,41,35,76
2020-12-17,433,46,34,80
2020-12-18,446,39,35,74
2020-12-19,433,37,35,72
2020-12-20,422,38,36,74
2020-12-21,432,34,47,81
2020-12-22,438,41,42,83
2020-12-23,439,53,35,88
2020-12-24,441,54,35,89
2020-12-25,429,49,36,85
2020-12-26,430,52,34,86
2020-12-27,371,51,31,82
2020-12-28,449,59,34,93
2020-12-29,486,59,32,91
2020-12-30,460,58,28,86
2020-12-31,463,69,30,99
2021-01-01,497,51,26,77
2021-01-02,520,43,28,71
2021-01-03,519,48,28,76
2021-01-04,508,54,26,80
2021-01-05,499,65,28,93
2021-01-06,508,74,29,103
2021-01-07,520,65,35,100
2021-01-08,531,61,37,98
2021-01-09,548,51,38,89
2021-01-10,559,49,41,90
2021-01-11,534,55,32,87
2021-01-12,564,50,31,81
2021-01-13,603,40,42,82
2021-01-14,602,51,41,92
2021-01-15,607,51,38,89
2021-01-16,567,55,32,87
2021-01-17,617,54,36,90
2021-01-18,632,54,40,94
2021-01-19,647,57,38,95
2021-01-20,666,54,35,89
2021-01-21,624,64,34,98
2021-01-22,636,69,36,105
2021-01-23,627,64,37,101
2021-01-24,604,63,25,88
2021-01-25,633,64,35,99
2021-01-26,634,71,28,99
2021-01-27,586,72,31,103
2021-01-28,595,61,38,99
2021-01-29,604,71,41,112
2021-01-30,581,65,39,104
2021-01-31,559,66,41,107
2021-02-01,558,76,36,112
2021-02-02,546,69,41,110
2021-02-03,540,81,35,116
2021-02-04,514,82,32,114
2021-02-05,513,72,37,109
2021-02-06,467,67,33,100
2021-02-07,470,62,30,92
2021-02-08,449,72,34,106
2021-02-09,466,72,30,102
2021-02-10,435,66,31,97
2021-02-11,410,58,37,95
2021-02-12,407,68,31,99
2021-02-13,383,65,28,93
2021-02-14,359,66,30,96
2021-02-15,311,52,30,82
2021-02-16,318,51,30,81
2021-02-17,299,48,30,78
