fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,2,0,0,0
2020-04-08,29,4,0,4
2020-04-09,25,6,1,7
2020-04-10,22,4,2,6
2020-04-11,17,9,2,11
2020-04-12,17,10,2,12
2020-04-13,23,4,3,7
2020-04-14,37,2,4,6
2020-04-15,35,2,4,6
2020-04-16,36,4,4,8
2020-04-17,34,0,6,6
2020-04-18,34,0,7,7
2020-04-19,35,-1,7,6
2020-04-20,63,4,7,11
2020-04-21,63,6,7,13
2020-04-22,60,5,8,13
2020-04-23,55,9,8,17
2020-04-24,47,7,10,17
2020-04-25,48,9,6,15
2020-04-26,56,6,12,18
2020-04-27,65,7,13,20
2020-04-28,70,3,12,15
2020-04-29,70,0,11,11
2020-04-30,76,1,11,12
2020-05-01,77,1,10,11
2020-05-02,85,-3,14,11
2020-05-03,80,-3,14,11
2020-05-04,107,-12,24,12
2020-05-05,99,0,21,21
2020-05-06,106,1,18,19
2020-05-07,114,-6,30,24
2020-05-08,124,-2,35,33
2020-05-09,125,-10,36,26
2020-05-10,123,-6,33,27
2020-05-11,147,-1,30,29
2020-05-12,140,4,29,33
2020-05-13,145,-8,33,25
2020-05-14,160,4,32,36
2020-05-15,179,-2,35,33
2020-05-16,167,-6,38,32
2020-05-17,158,-8,34,26
2020-05-18,163,-12,37,25
2020-05-19,169,-13,37,24
2020-05-20,164,-14,36,22
2020-05-21,171,-13,44,31
2020-05-22,169,-4,49,45
2020-05-23,179,-4,43,39
2020-05-24,184,0,42,42
2020-05-25,216,-5,46,41
2020-05-26,210,2,44,46
2020-05-27,232,12,45,57
2020-05-28,232,17,50,67
2020-05-29,267,17,52,69
2020-05-30,260,14,58,72
2020-05-31,290,10,64,74
2020-06-01,324,17,60,77
2020-06-02,367,7,78,85
2020-06-03,377,11,78,89
2020-06-04,393,6,85,91
2020-06-05,409,-1,99,98
2020-06-06,404,4,95,99
2020-06-07,432,8,95,103
2020-06-08,460,15,97,112
2020-06-09,518,13,103,116
2020-06-10,550,12,114,126
2020-06-11,559,7,123,130
2020-06-12,612,5,129,134
2020-06-13,538,15,115,130
2020-06-14,530,30,119,149
2020-06-15,571,33,119,152
2020-06-16,614,30,130,160
2020-06-17,574,41,131,172
2020-06-18,643,39,130,169
2020-06-19,612,55,127,182
2020-06-20,593,59,126,185
2020-06-21,623,67,120,187
2020-06-22,642,43,122,165
2020-06-23,591,44,119,163
2020-06-24,612,64,119,183
2020-06-25,610,61,111,172
2020-06-26,603,61,126,187
2020-06-27,602,69,124,193
2020-06-28,594,77,126,203
2020-06-29,613,69,137,206
2020-06-30,608,61,143,204
2020-07-01,626,55,140,195
2020-07-02,600,53,139,192
2020-07-03,642,78,131,209
2020-07-04,635,76,127,203
2020-07-05,621,72,127,199
2020-07-06,637,63,131,194
2020-07-07,627,68,132,200
2020-07-08,636,67,132,199
2020-07-09,669,54,130,184
2020-07-10,698,51,129,180
2020-07-11,685,51,134,185
2020-07-12,701,58,128,186
2020-07-13,679,59,133,192
2020-07-14,653,78,121,199
2020-07-15,644,79,125,204
2020-07-16,629,80,121,201
2020-07-17,641,73,125,198
2020-07-18,631,73,121,194
2020-07-19,662,67,127,194
2020-07-20,639,73,110,183
2020-07-21,697,61,117,178
2020-07-22,713,56,120,176
2020-07-23,694,69,116,185
2020-07-24,690,73,112,185
2020-07-25,728,60,128,188
2020-07-26,740,62,130,192
2020-07-27,769,57,147,204
2020-07-28,740,71,135,206
2020-07-29,745,59,147,206
2020-07-30,711,71,138,209
2020-07-31,691,70,145,215
2020-08-01,689,83,139,222
2020-08-02,709,63,136,199
2020-08-03,703,71,147,218
2020-08-04,689,75,145,220
2020-08-05,691,80,161,241
2020-08-06,648,89,140,229
2020-08-07,635,79,154,233
2020-08-08,671,63,156,219
2020-08-09,674,61,158,219
2020-08-10,670,71,147,218
2020-08-11,703,64,152,216
2020-08-12,675,43,160,203
2020-08-13,678,63,148,211
2020-08-14,667,71,142,213
2020-08-15,693,60,148,208
2020-08-16,682,67,142,209
2020-08-17,692,72,144,216
2020-08-18,669,91,133,224
2020-08-19,716,85,134,219
2020-08-20,652,97,141,238
2020-08-21,659,85,141,226
2020-08-22,692,78,140,218
2020-08-23,694,66,144,210
2020-08-24,717,67,145,212
2020-08-25,695,53,149,202
2020-08-26,671,59,144,203
2020-08-27,657,62,144,206
2020-08-28,657,59,148,207
2020-08-29,633,69,143,212
2020-08-30,644,97,122,219
2020-08-31,638,69,150,219
2020-09-01,639,58,154,212
2020-09-02,644,48,153,201
2020-09-03,631,52,148,200
2020-09-04,622,54,140,194
2020-09-05,650,43,139,182
2020-09-06,607,58,124,182
2020-09-07,618,59,129,188
2020-09-08,614,45,131,176
2020-09-09,602,43,124,167
2020-09-10,567,54,125,179
2020-09-11,577,43,140,183
2020-09-12,566,36,141,177
2020-09-13,603,32,141,173
2020-09-14,590,47,133,180
2020-09-15,611,38,134,172
2020-09-16,574,49,124,173
2020-09-17,547,54,127,181
2020-09-18,550,46,123,169
2020-09-19,575,43,117,160
2020-09-20,560,43,102,145
2020-09-21,603,32,111,143
2020-09-22,588,37,116,153
2020-09-23,573,44,115,159
2020-09-24,559,48,127,175
2020-09-25,546,46,128,174
2020-09-26,520,44,125,169
2020-09-27,534,41,126,167
2020-09-28,521,56,121,177
2020-09-29,533,46,123,169
2020-09-30,517,34,129,163
2020-10-01,497,49,117,166
2020-10-02,476,44,114,158
2020-10-03,429,41,105,146
2020-10-04,469,17,129,146
2020-10-05,506,15,126,141
2020-10-06,472,40,111,151
2020-10-07,499,24,127,151
2020-10-08,501,34,122,156
2020-10-09,489,43,113,156
2020-10-10,507,48,110,158
2020-10-11,517,43,114,157
2020-10-12,542,42,115,157
2020-10-13,533,39,124,163
2020-10-14,511,41,127,168
2020-10-15,504,31,128,159
2020-10-16,476,35,116,151
2020-10-17,515,30,112,142
2020-10-18,552,30,114,144
2020-10-19,564,39,118,157
2020-10-20,580,38,127,165
2020-10-21,578,33,121,154
2020-10-22,595,30,126,156
2020-10-23,579,32,114,146
2020-10-24,582,13,128,141
2020-10-25,563,28,127,155
2020-10-26,601,19,131,150
2020-10-27,638,11,133,144
2020-10-28,619,22,136,158
2020-10-29,616,10,142,152
2020-10-30,578,19,140,159
2020-10-31,536,32,129,161
2020-11-01,567,34,131,165
2020-11-02,580,33,126,159
2020-11-03,576,37,131,168
2020-11-04,579,30,125,155
2020-11-05,549,36,121,157
2020-11-06,522,52,119,171
2020-11-07,506,41,129,170
2020-11-08,512,29,136,165
2020-11-09,521,40,122,162
2020-11-10,531,46,111,157
2020-11-11,535,44,119,163
2020-11-12,529,42,127,169
2020-11-13,521,48,116,164
2020-11-14,554,32,125,157
2020-11-15,547,36,128,164
2020-11-16,552,43,128,171
2020-11-17,538,42,130,172
2020-11-18,546,40,127,167
2020-11-19,559,43,126,169
2020-11-20,542,50,117,167
2020-11-21,543,33,125,158
2020-11-22,559,47,117,164
2020-11-23,583,36,117,153
2020-11-24,594,45,118,163
2020-11-25,617,36,131,167
2020-11-26,587,56,134,190
2020-11-27,594,59,131,190
2020-11-28,576,87,115,202
2020-11-29,572,80,116,196
2020-11-30,605,63,114,177
2020-12-01,603,76,118,194
2020-12-02,623,74,119,193
2020-12-03,632,54,127,181
2020-12-04,636,55,123,178
2020-12-05,676,50,145,195
2020-12-06,700,47,146,193
2020-12-07,675,58,142,200
2020-12-08,715,55,141,196
2020-12-09,738,58,151,209
2020-12-10,742,59,146,205
2020-12-11,744,47,152,199
2020-12-12,716,61,141,202
2020-12-13,697,52,139,191
2020-12-14,695,44,151,195
2020-12-15,750,50,161,211
2020-12-16,749,44,157,201
2020-12-17,766,60,153,213
2020-12-18,778,65,150,215
2020-12-19,754,57,145,202
2020-12-20,820,48,144,192
2020-12-21,811,50,149,199
2020-12-22,842,56,143,199
2020-12-23,827,61,145,206
2020-12-24,827,61,151,212
2020-12-25,856,52,158,210
2020-12-26,833,57,156,213
2020-12-27,868,60,158,218
2020-12-28,931,37,159,196
2020-12-29,944,56,167,223
2020-12-30,970,51,174,225
2020-12-31,968,59,177,236
2021-01-01,950,67,169,236
2021-01-02,1002,69,170,239
2021-01-03,1019,75,177,252
2021-01-04,1083,89,170,259
2021-01-05,1147,78,184,262
2021-01-06,1185,63,199,262
2021-01-07,1243,83,200,283
2021-01-08,1267,113,190,303
2021-01-09,1300,112,193,305
2021-01-10,1394,89,210,299
2021-01-11,1378,92,224,316
2021-01-12,1369,104,208,312
2021-01-13,1414,99,224,323
2021-01-14,1447,85,253,338
2021-01-15,1445,104,267,371
2021-01-16,1436,125,232,357
2021-01-17,1515,106,264,370
2021-01-18,1514,104,281,385
2021-01-19,1598,99,280,379
2021-01-20,1572,107,273,380
2021-01-21,1575,118,270,388
2021-01-22,1590,123,279,402
2021-01-23,1649,117,287,404
2021-01-24,1591,133,265,398
2021-01-25,1613,108,279,387
2021-01-26,1643,105,288,393
2021-01-27,1595,140,262,402
2021-01-28,1622,126,287,413
2021-01-29,1580,124,290,414
2021-01-30,1561,123,267,390
2021-01-31,1556,117,263,380
2021-02-01,1555,124,263,387
2021-02-02,1524,129,263,392
2021-02-03,1528,112,255,367
2021-02-04,1468,145,231,376
2021-02-05,1421,129,254,383
2021-02-06,1336,121,258,379
2021-02-07,1372,89,253,342
2021-02-08,1288,113,232,345
2021-02-09,1259,111,227,338
2021-02-10,1221,108,219,327
2021-02-11,1140,129,198,327
2021-02-12,1057,126,194,320
2021-02-13,1051,111,202,313
2021-02-14,1031,99,202,301
2021-02-15,920,133,184,317
2021-02-16,884,149,169,318
2021-02-17,852,141,172,313
