fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,3,3
2020-04-08,12,2,2,4
2020-04-09,61,39,4,43
2020-04-10,61,40,5,45
2020-04-11,59,46,5,51
2020-04-12,68,43,5,48
2020-04-13,78,34,13,47
2020-04-14,8,46,5,51
2020-04-15,36,35,5,40
2020-04-16,35,26,6,32
2020-04-17,43,27,6,33
2020-04-18,57,37,7,44
2020-04-19,62,33,7,40
2020-04-20,65,43,7,50
2020-04-21,70,25,11,36
2020-04-22,103,26,12,38
2020-04-23,100,22,12,34
2020-04-24,70,13,11,24
2020-04-25,119,27,14,41
2020-04-26,122,29,17,46
2020-04-27,137,33,16,49
2020-04-28,137,41,14,55
2020-04-29,165,38,16,54
2020-04-30,192,40,17,57
2020-05-01,202,48,16,64
2020-05-02,211,51,20,71
2020-05-03,224,52,20,72
2020-05-04,229,51,21,72
2020-05-05,236,56,19,75
2020-05-06,247,54,21,75
2020-05-07,244,62,17,79
2020-05-08,252,68,18,86
2020-05-09,260,69,18,87
2020-05-10,251,67,20,87
2020-05-11,306,80,30,110
2020-05-12,321,80,36,116
2020-05-13,300,88,32,120
2020-05-14,325,94,34,128
2020-05-15,339,105,35,140
2020-05-16,344,112,30,142
2020-05-17,306,89,19,108
2020-05-18,386,108,31,139
2020-05-19,379,110,32,142
2020-05-20,369,117,29,146
2020-05-21,361,121,31,152
2020-05-22,358,120,30,150
2020-05-23,358,119,30,149
2020-05-24,325,95,21,116
2020-05-25,395,119,31,150
2020-05-26,408,125,30,155
2020-05-27,399,118,45,163
2020-05-28,399,121,39,160
2020-05-29,396,113,41,154
2020-05-30,388,120,38,158
2020-05-31,413,115,42,157
2020-06-01,411,113,41,154
2020-06-02,456,107,48,155
2020-06-03,474,111,51,162
2020-06-04,454,108,50,158
2020-06-05,462,107,47,154
2020-06-06,480,103,49,152
2020-06-07,489,113,52,165
2020-06-08,446,72,40,112
2020-06-09,490,124,48,172
2020-06-10,494,123,46,169
2020-06-11,484,123,46,169
2020-06-12,480,106,50,156
2020-06-13,452,126,49,175
2020-06-14,471,118,56,174
2020-06-15,475,126,53,179
2020-06-16,475,134,50,184
2020-06-17,484,135,56,191
2020-06-18,465,140,57,197
2020-06-19,467,124,57,181
2020-06-20,436,81,44,125
2020-06-21,489,119,56,175
2020-06-22,486,125,54,179
2020-06-23,468,126,50,176
2020-06-24,457,124,49,173
2020-06-25,447,133,54,187
2020-06-26,420,138,56,194
2020-06-27,382,94,45,139
2020-06-28,401,90,44,134
2020-06-29,472,119,52,171
2020-06-30,477,94,67,161
2020-07-01,471,113,53,166
2020-07-02,464,102,54,156
2020-07-03,460,106,52,158
2020-07-04,405,77,37,114
2020-07-05,495,97,53,150
2020-07-06,491,90,57,147
2020-07-07,492,92,59,151
2020-07-08,460,107,57,164
2020-07-09,467,99,56,155
2020-07-10,451,101,54,155
2020-07-11,436,89,48,137
2020-07-12,447,94,46,140
2020-07-13,450,99,51,150
2020-07-14,437,88,64,152
2020-07-15,412,107,51,158
2020-07-16,411,105,51,156
2020-07-17,402,115,51,166
2020-07-18,393,107,48,155
2020-07-19,400,110,49,159
2020-07-20,416,101,51,152
2020-07-21,410,103,44,147
2020-07-22,444,105,46,151
2020-07-23,448,111,44,155
2020-07-24,445,118,43,161
2020-07-25,430,118,46,164
2020-07-26,425,120,43,163
2020-07-27,424,110,48,158
2020-07-28,436,108,47,155
2020-07-29,432,100,49,149
2020-07-30,417,99,49,148
2020-07-31,415,104,45,149
2020-08-01,420,85,54,139
2020-08-02,419,91,58,149
2020-08-03,429,90,48,138
2020-08-04,426,92,44,136
2020-08-05,426,91,43,134
2020-08-06,415,89,40,129
2020-08-07,414,94,40,134
2020-08-08,396,96,44,140
2020-08-09,394,89,48,137
2020-08-10,395,84,44,128
2020-08-11,389,95,41,136
2020-08-12,378,102,38,140
2020-08-13,363,91,38,129
2020-08-14,379,88,38,126
2020-08-15,334,73,30,103
2020-08-16,325,77,31,108
2020-08-17,384,86,37,123
2020-08-18,388,79,39,118
2020-08-19,385,86,41,127
2020-08-20,381,77,37,114
2020-08-21,376,81,42,123
2020-08-22,341,59,30,89
2020-08-23,326,70,32,102
2020-08-24,361,97,43,140
2020-08-25,368,87,44,131
2020-08-26,364,85,44,129
2020-08-27,343,94,37,131
2020-08-28,331,88,32,120
2020-08-29,275,67,19,86
2020-08-30,271,65,18,83
2020-08-31,332,80,31,111
2020-09-01,349,84,28,112
2020-09-02,362,82,32,114
2020-09-03,354,82,33,115
2020-09-04,350,79,41,120
2020-09-05,308,60,28,88
2020-09-06,394,56,49,105
2020-09-07,354,77,40,117
2020-09-08,372,72,39,111
2020-09-09,373,73,38,111
2020-09-10,357,69,42,111
2020-09-11,362,77,42,119
2020-09-12,283,54,29,83
2020-09-13,290,48,32,80
2020-09-14,348,81,42,123
2020-09-15,359,88,39,127
2020-09-16,298,55,27,82
2020-09-17,374,80,36,116
2020-09-18,356,87,38,125
2020-09-19,285,59,25,84
2020-09-20,279,57,23,80
2020-09-21,327,86,35,121
2020-09-22,330,88,38,126
2020-09-23,320,88,37,125
2020-09-24,331,87,35,122
2020-09-25,312,88,33,121
2020-09-26,284,48,25,73
2020-09-27,284,56,20,76
2020-09-28,333,84,32,116
2020-09-29,348,77,34,111
2020-09-30,340,86,33,119
2020-10-01,337,84,26,110
2020-10-02,356,81,23,104
2020-10-03,300,60,16,76
2020-10-04,289,62,15,77
2020-10-05,333,81,27,108
2020-10-06,351,79,28,107
2020-10-07,334,82,24,106
2020-10-08,326,88,23,111
2020-10-09,323,93,21,114
2020-10-10,262,71,10,81
2020-10-11,266,60,11,71
2020-10-12,317,86,24,110
2020-10-13,337,94,18,112
2020-10-14,263,69,10,79
2020-10-15,321,94,23,117
2020-10-16,305,103,21,124
2020-10-17,254,69,13,82
2020-10-18,333,97,23,120
2020-10-19,340,82,30,112
2020-10-20,336,80,32,112
2020-10-21,348,72,36,108
2020-10-22,359,79,34,113
2020-10-23,338,94,29,123
2020-10-24,327,91,29,120
2020-10-25,346,83,29,112
2020-10-26,356,83,28,111
2020-10-27,358,77,28,105
2020-10-28,349,79,30,109
2020-10-29,360,85,28,113
2020-10-30,342,85,26,111
2020-10-31,329,78,30,108
2020-11-01,325,85,26,111
2020-11-02,336,79,30,109
2020-11-03,334,90,34,124
2020-11-04,333,99,31,130
2020-11-05,328,105,32,137
2020-11-06,338,97,32,129
2020-11-07,329,104,25,129
2020-11-08,353,91,31,122
2020-11-09,337,99,33,132
2020-11-10,328,99,31,130
2020-11-11,329,100,31,131
2020-11-12,324,101,27,128
2020-11-13,334,106,25,131
2020-11-14,317,115,27,142
2020-11-15,338,116,27,143
2020-11-16,339,124,28,152
2020-11-17,350,114,29,143
2020-11-18,353,112,38,150
2020-11-19,388,117,35,152
2020-11-20,352,116,36,152
2020-11-21,362,119,37,156
2020-11-22,379,123,37,160
2020-11-23,367,117,38,155
2020-11-24,374,133,32,165
2020-11-25,401,129,35,164
2020-11-26,399,122,39,161
2020-11-27,396,125,40,165
2020-11-28,407,134,37,171
2020-11-29,421,142,41,183
2020-11-30,437,138,44,182
2020-12-01,455,142,40,182
2020-12-02,452,152,39,191
2020-12-03,475,144,40,184
2020-12-04,470,148,37,185
2020-12-05,503,152,39,191
2020-12-06,517,162,38,200
2020-12-07,514,161,41,202
2020-12-08,525,155,38,193
2020-12-09,510,166,39,205
2020-12-10,508,156,42,198
2020-12-11,518,167,46,213
2020-12-12,518,171,37,208
2020-12-13,541,166,46,212
2020-12-14,563,165,51,216
2020-12-15,588,166,55,221
2020-12-16,580,156,60,216
2020-12-17,595,156,61,217
2020-12-18,567,174,57,231
2020-12-19,575,171,57,228
2020-12-20,598,172,59,231
2020-12-21,611,167,39,206
2020-12-22,619,161,59,220
2020-12-23,623,180,60,240
2020-12-24,655,180,60,240
2020-12-25,642,188,58,246
2020-12-26,669,193,50,243
2020-12-27,679,193,57,250
2020-12-28,683,183,65,248
2020-12-29,718,172,62,234
2020-12-30,700,179,59,238
2020-12-31,684,190,61,251
2021-01-01,649,200,61,261
2021-01-02,688,191,64,255
2021-01-03,710,190,62,252
2021-01-04,740,182,65,247
2021-01-05,761,180,64,244
2021-01-06,758,172,68,240
2021-01-07,736,179,69,248
2021-01-08,749,187,71,258
2021-01-09,791,187,66,253
2021-01-10,762,203,58,261
2021-01-11,742,198,59,257
2021-01-12,739,190,60,250
2021-01-13,754,181,69,250
2021-01-14,765,184,67,251
2021-01-15,760,174,73,247
2021-01-16,767,204,49,253
2021-01-17,794,181,71,252
2021-01-18,806,177,74,251
2021-01-19,806,181,69,250
2021-01-20,816,180,73,253
2021-01-21,807,185,71,256
2021-01-22,787,185,69,254
2021-01-23,755,190,72,262
2021-01-24,782,191,73,264
2021-01-25,781,176,77,253
2021-01-26,760,192,65,257
2021-01-27,811,186,72,258
2021-01-28,762,194,72,266
2021-01-29,732,189,72,261
2021-01-30,722,190,73,263
2021-01-31,766,184,73,257
2021-02-01,752,178,74,252
2021-02-02,738,172,64,236
2021-02-03,767,166,69,235
2021-02-04,759,150,69,219
2021-02-05,705,175,63,238
2021-02-06,685,181,62,243
2021-02-07,713,170,71,241
2021-02-08,706,166,72,238
2021-02-09,673,159,70,229
2021-02-10,674,162,68,230
2021-02-11,645,169,67,236
2021-02-12,593,164,65,229
2021-02-13,578,174,54,228
2021-02-14,564,162,62,224
2021-02-15,520,164,51,215
2021-02-16,530,152,57,209
2021-02-17,462,148,53,201
