fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,0,0
2020-04-08,10,1,0,1
2020-04-09,11,1,4,5
2020-04-10,14,0,5,5
2020-04-11,8,5,0,5
2020-04-12,10,2,0,2
2020-04-13,8,1,1,2
2020-04-14,12,1,4,5
2020-04-15,8,1,1,2
2020-04-16,7,0,0,0
2020-04-17,6,0,0,0
2020-04-18,6,0,0,0
2020-04-19,6,0,0,0
2020-04-20,7,3,2,5
2020-04-21,7,5,0,5
2020-04-22,7,0,5,5
2020-04-23,6,3,0,3
2020-04-24,6,3,0,3
2020-04-25,10,2,6,8
2020-04-26,11,2,4,6
2020-04-27,12,2,5,7
2020-04-28,8,3,7,10
2020-04-29,18,3,8,11
2020-04-30,21,2,7,9
2020-05-01,21,2,8,10
2020-05-02,24,2,10,12
2020-05-03,27,4,11,15
2020-05-04,24,6,11,17
2020-05-05,21,8,11,19
2020-05-06,21,10,12,22
2020-05-07,25,8,13,21
2020-05-08,15,15,11,26
2020-05-09,30,7,19,26
2020-05-10,24,9,19,28
2020-05-11,23,9,19,28
2020-05-12,42,9,19,28
2020-05-13,48,10,17,27
2020-05-14,53,11,19,30
2020-05-15,63,9,20,29
2020-05-16,55,1,11,12
2020-05-17,71,7,19,26
2020-05-18,70,9,20,29
2020-05-19,85,10,20,30
2020-05-20,87,11,20,31
2020-05-21,101,12,20,32
2020-05-22,100,13,20,33
2020-05-23,85,24,20,44
2020-05-24,69,11,11,22
2020-05-25,76,26,20,46
2020-05-26,87,15,19,34
2020-05-27,77,21,18,39
2020-05-28,57,7,10,17
2020-05-29,90,26,19,45
2020-05-30,52,10,10,20
2020-05-31,88,25,17,42
2020-06-01,87,36,17,53
2020-06-02,94,41,17,58
2020-06-03,59,21,7,28
2020-06-04,69,46,18,64
2020-06-05,61,23,8,31
2020-06-06,98,38,20,58
2020-06-07,102,40,19,59
2020-06-08,93,46,18,64
2020-06-09,103,44,18,62
2020-06-10,74,25,11,36
2020-06-11,154,16,50,66
2020-06-12,147,17,52,69
2020-06-13,66,33,11,44
2020-06-14,68,33,11,44
2020-06-15,99,51,20,71
2020-06-16,103,54,19,73
2020-06-17,130,29,52,81
2020-06-18,104,66,16,82
2020-06-19,114,55,25,80
2020-06-20,107,58,23,81
2020-06-21,127,54,23,77
2020-06-22,115,50,24,74
2020-06-23,121,45,25,70
2020-06-24,118,44,24,68
2020-06-25,118,47,25,72
2020-06-26,120,46,25,71
2020-06-27,119,48,22,70
2020-06-28,112,46,23,69
2020-06-29,111,42,23,65
2020-06-30,127,40,25,65
2020-07-01,136,41,25,66
2020-07-02,136,44,25,69
2020-07-03,125,44,25,69
2020-07-04,116,52,25,77
2020-07-05,111,48,25,73
2020-07-06,115,52,25,77
2020-07-07,121,47,26,73
2020-07-08,130,48,26,74
2020-07-09,122,46,25,71
2020-07-10,147,43,25,68
2020-07-11,124,53,25,78
2020-07-12,127,60,25,85
2020-07-13,114,60,25,85
2020-07-14,131,54,25,79
2020-07-15,135,57,25,82
2020-07-16,144,57,25,82
2020-07-17,145,54,25,79
2020-07-18,148,59,23,82
2020-07-19,155,60,24,84
2020-07-20,152,56,24,80
2020-07-21,163,51,24,75
2020-07-22,148,46,33,79
2020-07-23,157,50,25,75
2020-07-24,156,50,25,75
2020-07-25,142,50,25,75
2020-07-26,150,51,23,74
2020-07-27,156,53,23,76
2020-07-28,167,57,23,80
2020-07-29,177,53,24,77
2020-07-30,175,53,24,77
2020-07-31,163,49,23,72
2020-08-01,167,54,23,77
2020-08-02,160,47,23,70
2020-08-03,155,52,24,76
2020-08-04,173,52,23,75
2020-08-05,166,58,23,81
2020-08-06,154,62,23,85
2020-08-07,136,61,23,84
2020-08-08,144,62,23,85
2020-08-09,114,63,23,86
2020-08-10,138,63,23,86
2020-08-11,143,61,23,84
2020-08-12,151,63,23,86
2020-08-13,158,64,23,87
2020-08-14,174,68,24,92
2020-08-15,153,69,24,93
2020-08-16,155,8,85,93
2020-08-17,166,66,25,91
2020-08-18,181,69,24,93
2020-08-19,177,74,24,98
2020-08-20,189,68,24,92
2020-08-21,191,73,24,97
2020-08-22,162,73,24,97
2020-08-23,146,64,24,88
2020-08-24,150,62,24,86
2020-08-25,160,70,24,94
2020-08-26,163,72,25,97
2020-08-27,168,68,24,92
2020-08-28,165,74,24,98
2020-08-29,154,71,24,95
2020-08-30,163,63,23,86
2020-08-31,151,60,23,83
2020-09-01,159,66,23,89
2020-09-02,175,62,24,86
2020-09-03,174,67,24,91
2020-09-04,171,72,24,96
2020-09-05,162,67,24,91
2020-09-06,168,66,24,90
2020-09-07,156,70,24,94
2020-09-08,166,66,24,90
2020-09-09,177,71,24,95
2020-09-10,168,63,23,86
2020-09-11,162,56,23,79
2020-09-12,170,55,22,77
2020-09-13,161,56,22,78
2020-09-14,162,59,22,81
2020-09-15,150,58,21,79
2020-09-16,145,57,23,80
2020-09-17,149,50,23,73
2020-09-18,165,50,23,73
2020-09-19,136,51,23,74
2020-09-20,133,54,23,77
2020-09-21,130,60,21,81
2020-09-22,128,64,21,85
2020-09-23,127,64,22,86
2020-09-24,129,62,21,83
2020-09-25,119,61,21,82
2020-09-26,103,66,23,89
2020-09-27,114,70,22,92
2020-09-28,119,60,22,82
2020-09-29,127,59,24,83
2020-09-30,115,52,23,75
2020-10-01,116,50,23,73
2020-10-02,102,54,24,78
2020-10-03,98,48,24,72
2020-10-04,108,47,22,69
2020-10-05,116,49,23,72
2020-10-06,124,47,23,70
2020-10-07,108,52,22,74
2020-10-08,93,55,21,76
2020-10-09,93,57,19,76
2020-10-10,92,52,22,74
2020-10-11,89,62,22,84
2020-10-12,97,62,22,84
2020-10-13,111,57,22,79
2020-10-14,109,52,22,74
2020-10-15,116,51,22,73
2020-10-16,123,51,22,73
2020-10-17,124,54,22,76
2020-10-18,118,63,21,84
2020-10-19,122,66,21,87
2020-10-20,120,69,18,87
2020-10-21,136,73,18,91
2020-10-22,140,72,18,90
2020-10-23,140,75,18,93
2020-10-24,162,71,24,95
2020-10-25,168,69,24,93
2020-10-26,171,80,21,101
2020-10-27,171,82,19,101
2020-10-28,158,73,19,92
2020-10-29,168,72,19,91
2020-10-30,173,65,21,86
2020-10-31,171,68,20,88
2020-11-01,160,70,20,90
2020-11-02,161,70,20,90
2020-11-03,152,75,20,95
2020-11-04,158,72,20,92
2020-11-05,162,74,21,95
2020-11-06,166,70,22,92
2020-11-07,171,68,22,90
2020-11-08,183,76,21,97
2020-11-09,200,78,22,100
2020-11-10,200,77,22,99
2020-11-11,184,94,21,115
2020-11-12,202,88,24,112
2020-11-13,197,91,25,116
2020-11-14,191,93,24,117
2020-11-15,206,93,24,117
2020-11-16,228,93,24,117
2020-11-17,239,90,27,117
2020-11-18,222,93,27,120
2020-11-19,228,92,26,118
2020-11-20,227,97,26,123
2020-11-21,228,97,26,123
2020-11-22,232,96,25,121
2020-11-23,246,93,26,119
2020-11-24,253,94,27,121
2020-11-25,246,94,24,118
2020-11-26,240,102,24,126
2020-11-27,234,114,26,140
2020-11-28,227,121,25,146
2020-11-29,236,114,26,140
2020-11-30,257,110,26,136
2020-12-01,264,110,25,135
2020-12-02,257,125,24,149
2020-12-03,261,125,26,151
2020-12-04,260,116,28,144
2020-12-05,255,115,30,145
2020-12-06,245,114,29,143
2020-12-07,270,111,26,137
2020-12-08,269,102,25,127
2020-12-09,276,104,26,130
2020-12-10,268,112,26,138
2020-12-11,278,124,25,149
2020-12-12,282,127,26,153
2020-12-13,301,128,25,153
2020-12-14,287,133,28,161
2020-12-15,293,133,28,161
2020-12-16,313,129,29,158
2020-12-17,301,125,27,152
2020-12-18,289,117,28,145
2020-12-19,281,121,27,148
2020-12-20,303,124,28,152
2020-12-21,310,122,30,152
2020-12-22,323,122,29,151
2020-12-23,325,135,29,164
2020-12-24,323,136,30,166
2020-12-25,303,128,30,158
2020-12-26,300,121,30,151
2020-12-27,314,120,30,150
2020-12-28,310,127,30,157
2020-12-29,344,123,30,153
2020-12-30,321,134,29,163
2020-12-31,316,136,29,165
2021-01-01,306,134,29,163
2021-01-02,325,138,29,167
2021-01-03,349,133,29,162
2021-01-04,345,141,29,170
2021-01-05,354,139,29,168
2021-01-06,347,141,27,168
2021-01-07,350,127,28,155
2021-01-08,366,133,29,162
2021-01-09,364,122,30,152
2021-01-10,378,124,30,154
2021-01-11,391,127,29,156
2021-01-12,419,125,29,154
2021-01-13,445,118,29,147
2021-01-14,447,123,29,152
2021-01-15,450,123,29,152
2021-01-16,446,128,28,156
2021-01-17,445,133,26,159
2021-01-18,446,152,25,177
2021-01-19,446,139,27,166
2021-01-20,449,135,27,162
2021-01-21,456,127,27,154
2021-01-22,452,129,27,156
2021-01-23,476,123,27,150
2021-01-24,464,132,27,159
2021-01-25,473,145,28,173
2021-01-26,470,152,28,180
2021-01-27,464,148,26,174
2021-01-28,460,145,27,172
2021-01-29,462,141,27,168
2021-01-30,471,134,27,161
2021-01-31,448,133,27,160
2021-02-01,450,133,27,160
2021-02-02,446,121,27,148
2021-02-03,439,119,27,146
2021-02-04,433,126,27,153
2021-02-05,418,118,28,146
2021-02-06,389,109,28,137
2021-02-07,384,116,27,143
2021-02-08,396,112,25,137
2021-02-09,387,109,27,136
2021-02-10,386,95,26,121
2021-02-11,344,104,28,132
2021-02-12,323,103,28,131
2021-02-13,313,90,36,126
2021-02-14,310,99,29,128
2021-02-15,296,91,31,122
2021-02-16,300,90,29,119
2021-02-17,294,97,29,126
