fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,1,0,0,0
2020-04-08,11,2,1,3
2020-04-09,9,2,1,3
2020-04-10,9,3,0,3
2020-04-11,17,1,2,3
2020-04-12,15,1,2,3
2020-04-13,12,1,2,3
2020-04-14,9,0,2,2
2020-04-15,9,0,2,2
2020-04-16,13,-2,3,1
2020-04-17,17,-2,3,1
2020-04-18,19,-2,4,2
2020-04-19,22,-3,4,1
2020-04-20,26,-2,4,2
2020-04-21,23,0,3,3
2020-04-22,24,3,1,4
2020-04-23,27,4,2,6
2020-04-24,25,15,5,20
2020-04-25,30,2,5,7
2020-04-26,34,1,5,6
2020-04-27,42,1,8,9
2020-04-28,35,0,5,5
2020-04-29,42,-1,8,7
2020-04-30,28,0,5,5
2020-05-01,34,2,6,8
2020-05-02,32,1,4,5
2020-05-03,37,1,7,8
2020-05-04,42,2,5,7
2020-05-05,36,5,4,9
2020-05-06,40,4,4,8
2020-05-07,49,7,4,11
2020-05-08,49,2,4,6
2020-05-09,50,1,4,5
2020-05-10,54,2,4,6
2020-05-11,68,5,4,9
2020-05-12,67,10,5,15
2020-05-13,83,10,7,17
2020-05-14,95,11,12,23
2020-05-15,101,11,13,24
2020-05-16,129,26,11,37
2020-05-17,146,12,19,31
2020-05-18,134,16,21,37
2020-05-19,125,16,22,38
2020-05-20,143,23,25,48
2020-05-21,171,16,25,41
2020-05-22,182,17,26,43
2020-05-23,159,25,24,49
2020-05-24,185,26,28,54
2020-05-25,200,38,34,72
2020-05-26,211,41,31,72
2020-05-27,220,48,24,72
2020-05-28,226,47,28,75
2020-05-29,235,59,23,82
2020-05-30,247,61,22,83
2020-05-31,237,49,22,71
2020-06-01,268,69,26,95
2020-06-02,306,58,32,90
2020-06-03,318,62,33,95
2020-06-04,339,63,38,101
2020-06-05,318,74,34,108
2020-06-06,329,70,33,103
2020-06-07,341,62,34,96
2020-06-08,386,80,36,116
2020-06-09,397,91,36,127
2020-06-10,431,89,37,126
2020-06-11,440,90,35,125
2020-06-12,448,65,37,102
2020-06-13,426,69,32,101
2020-06-14,476,78,36,114
2020-06-15,487,84,38,122
2020-06-16,511,85,37,122
2020-06-17,526,67,59,126
2020-06-18,504,93,40,133
2020-06-19,441,100,27,127
2020-06-20,479,87,39,126
2020-06-21,497,87,38,125
2020-06-22,569,100,39,139
2020-06-23,535,81,35,116
2020-06-24,603,99,38,137
2020-06-25,575,91,36,127
2020-06-26,559,92,39,131
2020-06-27,562,81,43,124
2020-06-28,641,89,46,135
2020-06-29,609,84,47,131
2020-06-30,583,84,48,132
2020-07-01,584,89,48,137
2020-07-02,619,91,49,140
2020-07-03,592,105,38,143
2020-07-04,530,75,44,119
2020-07-05,580,86,45,131
2020-07-06,555,66,62,128
2020-07-07,569,96,42,138
2020-07-08,570,84,50,134
2020-07-09,577,93,46,139
2020-07-10,578,77,47,124
2020-07-11,575,74,45,119
2020-07-12,565,91,31,122
2020-07-13,562,83,42,125
2020-07-14,545,77,43,120
2020-07-15,491,73,30,103
2020-07-16,540,84,40,124
2020-07-17,516,63,43,106
2020-07-18,531,64,59,123
2020-07-19,486,74,31,105
2020-07-20,488,56,29,85
2020-07-21,542,79,29,108
2020-07-22,556,67,46,113
2020-07-23,551,77,45,122
2020-07-24,482,54,47,101
2020-07-25,465,68,25,93
2020-07-26,491,56,42,98
2020-07-27,470,37,58,95
2020-07-28,440,64,28,92
2020-07-29,429,36,32,68
2020-07-30,411,52,32,84
2020-07-31,380,39,43,82
2020-08-01,351,52,40,92
2020-08-02,338,52,42,94
2020-08-03,345,52,41,93
2020-08-04,354,53,37,90
2020-08-05,310,57,22,79
2020-08-06,312,52,27,79
2020-08-07,306,43,20,63
2020-08-08,286,45,30,75
2020-08-09,271,41,18,59
2020-08-10,272,44,19,63
2020-08-11,239,36,20,56
2020-08-12,263,36,26,62
2020-08-13,252,42,26,68
2020-08-14,241,41,24,65
2020-08-15,220,42,23,65
2020-08-16,199,50,16,66
2020-08-17,213,41,22,63
2020-08-18,201,35,24,59
2020-08-19,192,32,18,50
2020-08-20,211,40,24,64
2020-08-21,187,35,20,55
2020-08-22,195,36,22,58
2020-08-23,209,37,22,59
2020-08-24,194,32,18,50
2020-08-25,214,31,21,52
2020-08-26,203,30,21,51
2020-08-27,179,24,17,41
2020-08-28,205,15,22,37
2020-08-29,202,22,21,43
2020-08-30,193,16,20,36
2020-08-31,193,26,19,45
2020-09-01,187,28,18,46
2020-09-02,167,23,22,45
2020-09-03,164,20,21,41
2020-09-04,144,18,18,36
2020-09-05,127,14,17,31
2020-09-06,107,18,11,29
2020-09-07,131,7,18,25
2020-09-08,113,7,11,18
2020-09-09,135,7,18,25
2020-09-10,127,13,23,36
2020-09-11,103,20,17,37
2020-09-12,92,19,18,37
2020-09-13,101,19,17,36
2020-09-14,107,13,14,27
2020-09-15,112,18,17,35
2020-09-16,100,17,16,33
2020-09-17,104,19,12,31
2020-09-18,115,18,17,35
2020-09-19,128,17,16,33
2020-09-20,117,16,12,28
2020-09-21,121,16,13,29
2020-09-22,106,17,7,24
2020-09-23,115,18,9,27
2020-09-24,114,13,9,22
2020-09-25,117,12,13,25
2020-09-26,119,13,13,26
2020-09-27,121,12,15,27
2020-09-28,120,9,9,18
2020-09-29,119,15,18,33
2020-09-30,121,16,12,28
2020-10-01,139,10,24,34
2020-10-02,119,20,15,35
2020-10-03,106,22,19,41
2020-10-04,116,26,12,38
2020-10-05,123,19,13,32
2020-10-06,107,24,10,34
2020-10-07,121,19,17,36
2020-10-08,105,21,12,33
2020-10-09,103,24,16,40
2020-10-10,96,24,16,40
2020-10-11,97,21,14,35
2020-10-12,105,18,7,25
2020-10-13,108,26,12,38
2020-10-14,106,29,6,35
2020-10-15,118,27,12,39
2020-10-16,102,28,7,35
2020-10-17,103,28,13,41
2020-10-18,100,30,6,36
2020-10-19,118,27,13,40
2020-10-20,107,21,9,30
2020-10-21,111,21,16,37
2020-10-22,114,21,15,36
2020-10-23,101,19,7,26
2020-10-24,112,23,7,30
2020-10-25,124,20,13,33
2020-10-26,102,20,11,31
2020-10-27,123,20,8,28
2020-10-28,140,19,15,34
2020-10-29,132,14,17,31
2020-10-30,124,12,13,25
2020-10-31,120,14,13,27
2020-11-01,123,23,9,32
2020-11-02,134,17,11,28
2020-11-03,143,18,12,30
2020-11-04,150,15,16,31
2020-11-05,151,23,17,40
2020-11-06,146,22,16,38
2020-11-07,136,19,17,36
2020-11-08,131,19,21,40
2020-11-09,144,22,14,36
2020-11-10,149,26,18,44
2020-11-11,140,30,15,45
2020-11-12,163,34,21,55
2020-11-13,135,22,6,28
2020-11-14,167,38,15,53
2020-11-15,170,32,16,48
2020-11-16,173,25,25,50
2020-11-17,200,34,26,60
2020-11-18,213,24,25,49
2020-11-19,228,36,16,52
2020-11-20,227,37,23,60
2020-11-21,203,36,17,53
2020-11-22,234,39,17,56
2020-11-23,256,37,26,63
2020-11-24,222,42,25,67
2020-11-25,241,41,16,57
2020-11-26,237,45,12,57
2020-11-27,253,47,21,68
2020-11-28,245,45,12,57
2020-11-29,243,51,8,59
2020-11-30,254,52,9,61
2020-12-01,260,45,9,54
2020-12-02,273,47,19,66
2020-12-03,288,52,10,62
2020-12-04,258,53,11,64
2020-12-05,268,44,13,57
2020-12-06,273,51,14,65
2020-12-07,299,51,20,71
2020-12-08,300,57,12,69
2020-12-09,297,62,18,80
2020-12-10,307,53,20,73
2020-12-11,307,42,30,72
2020-12-12,312,35,31,66
2020-12-13,304,54,23,77
2020-12-14,301,44,27,71
2020-12-15,315,58,28,86
2020-12-16,333,56,26,82
2020-12-17,330,60,20,80
2020-12-18,346,68,26,94
2020-12-19,352,74,27,101
2020-12-20,319,65,19,84
2020-12-21,353,64,25,89
2020-12-22,348,68,29,97
2020-12-23,355,62,26,88
2020-12-24,358,58,27,85
2020-12-25,333,57,25,82
2020-12-26,332,63,24,87
2020-12-27,316,53,15,68
2020-12-28,355,65,26,91
2020-12-29,359,73,24,97
2020-12-30,299,59,17,76
2020-12-31,342,69,30,99
2021-01-01,346,74,27,101
2021-01-02,337,72,28,100
2021-01-03,355,62,27,89
2021-01-04,364,68,26,94
2021-01-05,361,67,26,93
2021-01-06,317,66,19,85
2021-01-07,324,72,27,99
2021-01-08,366,76,22,98
2021-01-09,374,86,23,109
2021-01-10,369,84,23,107
2021-01-11,389,89,21,110
2021-01-12,392,88,21,109
2021-01-13,393,83,22,105
2021-01-14,390,80,24,104
2021-01-15,430,97,28,125
2021-01-16,426,102,29,131
2021-01-17,417,95,31,126
2021-01-18,434,87,24,111
2021-01-19,417,95,35,130
2021-01-20,420,83,20,103
2021-01-21,435,92,21,113
2021-01-22,403,95,25,120
2021-01-23,385,96,25,121
2021-01-24,382,95,23,118
2021-01-25,360,74,20,94
2021-01-26,365,90,22,112
2021-01-27,363,90,25,115
2021-01-28,333,76,19,95
2021-01-29,341,91,27,118
2021-01-30,327,75,25,100
2021-01-31,340,75,25,100
2021-02-01,336,70,27,97
2021-02-02,331,78,26,104
2021-02-03,314,68,28,96
2021-02-04,299,71,22,93
2021-02-05,286,69,22,91
2021-02-06,252,59,12,71
2021-02-07,257,60,15,75
2021-02-08,268,63,23,86
2021-02-09,257,60,19,79
2021-02-10,230,54,14,68
2021-02-11,213,45,13,58
2021-02-12,222,55,17,72
2021-02-13,217,52,18,70
2021-02-14,202,47,18,65
2021-02-15,180,45,18,63
2021-02-16,171,48,17,65
2021-02-17,139,46,12,58
